"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
841,"Thomson DS","1984-07-14",0,1,0,0,7,"National",1
846,"Stevenson RM","1972-11-25",0,0,0,0,3,"National",1
851,"Munro Leslie","1972-11-25",0,0,0,0,3,"National",1
856,"Finlay AM","1978-11-25",0,1,1,0,5,"Labour",0
873,"Talbot RLG","1987-08-15",0,1,0,0,7,"National",0
889,"Young VS","1990-10-27",0,0,0,0,8,"National",0
915,"Wall GA","1984-07-14",0,0,0,0,5,"Labour",0
919,"Christie G","1981-11-28",0,0,0,0,5,"Labour",0
923,"HUNT, JL","1996-10-12",0,0,0,0,10,"Labour",0
926,"Gair GF","1990-10-27",0,0,0,0,8,"National",0
927,"Bassett MER","1990-10-27",0,1,1,0,4,"Labour",1
939,"Walding JA","1981-11-28",0,0,0,0,1,"Labour",0
941,"LUXTON, JOHN","1999-11-27",0,0,0,0,11,"National",1
949,"Highet DA","1984-07-14",0,1,0,0,6,"National",1
952,"McLachlan CCA","1981-11-28",0,1,0,0,5,"National",1
973,"Wilkinson PI","1984-07-14",0,0,0,0,5,"National",1
984,"Holland ESF","1981-11-28",0,1,0,0,5,"National",1
985,"Colman FMacD","1987-08-15",0,0,0,0,7,"Labour",1
987,"Rewiti PB","1981-11-28",0,0,0,0,5,"Labour",0
993,"Young TJ","1990-10-27",0,0,0,0,8,"Labour",1
1023,"Isbey EE","1987-08-15",0,0,0,0,6,"Labour",1
1027,"Schultz LCT","1972-11-25",0,0,0,0,1,"National",1
1050,"Douglas RO","1990-10-27",0,1,1,0,7,"Labour",1
1102,"TWM Tirikatene Sullivan","1990-10-27",0,0,0,0,7,"Labour",1
1106,"Drayston RPB","1972-11-25",0,0,0,0,1,"Labour",0
1127,"Gill TF","1981-11-28",0,1,1,0,4,"National",1
1138,"WETERE, KT","1996-10-12",0,0,0,0,9,"Labour",0
1149,"Batcheor MD","1975-11-29",0,0,0,0,1,"Labour",1
1166,"Scultz LCT","1978-11-25",0,0,0,0,2,"National",1
1184,"Moore, M","1996-10-12",0,0,0,0,6,"Labour",0
1195,"BIRCH, BILL","1999-11-27",0,0,0,0,9,"National",1
1196,"BRAYBROOKE, Geoff","2002-07-27",0,0,0,0,7,"Labour",1
1246,"O'Flynn FD","1987-08-15",0,0,0,0,3,"Labour",1
1253,"BOLGER, JAMES BRENDAN","1999-11-27",0,0,0,0,9,"National",1
1270,"Wellington ML","1975-11-29",0,0,0,0,1,"National",0
1382,"Drayton RPB","1978-11-25",0,0,0,0,2,"Labour",0
1414,"Allen KR","1984-07-14",0,0,0,0,4,"National",1
1426,"La Varis RJ","1978-11-25",0,0,0,0,1,"National",1
1447,"Marshall CR","1990-10-27",0,0,0,0,6,"Labour",1
1463,"PREBBLE, Richard","2002-07-27",0,0,0,0,2,"ACT",0
1468,"Batchelor MD","1987-08-15",0,0,0,0,4,"Labour",1
1471,"Austin WR","1987-08-15",0,0,0,0,4,"National",0
1478,"McLay JK","1987-08-15",0,1,1,0,4,"National",0
