Riding	Date	Candidate	Party	Votes	Elected
North Shore	11/28/1981	Gair GF	NAT	10407	1
North Shore	11/28/1981	Chambers PG	LAB	6438	0
North Shore	11/28/1981	Ryan RF	SC	4779	0
North Shore	7/14/1984	Gair GF	NAT	11034	1
North Shore	7/14/1984	Harris PJ	LAB	7324	0
North Shore	7/14/1984	Davies RR	NZP	3737	0
North Shore	7/14/1984	Ryan RF	SC	1371	0
North Shore	7/14/1984	Moses ML	I	54	0
North Shore	8/15/1987	Gair GF	NAT	10589	1
North Shore	8/15/1987	Ransom GR	LAB	9883	0
North Shore	8/15/1987	Holmes F	DEM	861	0
North Shore	8/15/1987	Greenfield ST	NZP	445	0
Oamaru	11/27/1946	Nordmeyer AH	LAB	7079	1
Oamaru	11/27/1946	Beatty TR	NAT	6847	0
Oamaru	11/27/1946	Cuttriss GP	IND LIB	53	0
Oamaru	11/30/1949	Hayman TL	NAT	7415	1
Oamaru	11/30/1949	Nordmeyer AH	LAB	6721	0
Oamaru	9/1/1951	Hayman TL	NAT	7736	1
Oamaru	9/1/1951	Ryan CJ	LAB	6421	0
Oamaru	11/13/1954	Hayman TL	NAT	6561	1
Oamaru	11/13/1954	Rapson JH	LAB	5203	0
Oamaru	11/13/1954	Poole F	SC	1151	0
Oamaru	11/29/1969	Dick AD	NAT	7033	1
Oamaru	11/29/1969	Agnew N	LAB	6536	0
Oamaru	11/29/1969	Milmine BR	SC	1974	0
Oamaru	11/29/1969	Wedderspoon PJ	DL	75	0
Oamaru	11/25/1972	Laney WR	LAB	7746	1
Oamaru	11/25/1972	Dick AD	NAT	7356	0
Oamaru	11/25/1972	Familton AW	SC	1881	0
Oamaru	11/25/1972	Perkins JR	V	176	0
Oamaru	11/25/1972	Mitchell HE	ND	55	0
Oamaru	11/29/1975	Elworthy JH	NAT	9563	1
Oamaru	11/29/1975	Laney WR	LAB	7367	0
Oamaru	11/29/1975	McLean D	SC	1713	0
Oamaru	11/29/1975	Morgan Ms GI	V	462	0
Ohariu	11/25/1978	Templeton HC	NAT	8809	1
Ohariu	11/25/1978	Ritchie Mrs H	LAB	6851	0
Ohariu	11/25/1978	Elliott EB	SC	2015	0
Ohariu	11/25/1978	Wilson Mrs HRP	V	735	0
Ohariu	11/25/1978	Gee LDB	RL	471	0
Ohariu	11/28/1981	Templeton HC	NAT	9261	1
Ohariu	11/28/1981	Ely NR	LAB	7694	0
Ohariu	11/28/1981	Elliott EB	SC	3102	0
Ohariu	11/28/1981	Mander NL	LIFE	250	0
Ohariu	7/14/1984	Dunne PF	LAB	8282	1
Ohariu	7/14/1984	Templeton HC	NAT	6911	0
Ohariu	7/14/1984	Jones RE	NZP	6326	0
Ohariu	7/14/1984	Loncar Mrs MK	SC	275	0
Ohariu	7/14/1984	Obee RT	HBUF	42	0
Ohariu	8/15/1987	Dunne PF	LAB	12983	1
Ohariu	8/15/1987	Lloyd DW	NAT	8491	0
Ohariu	8/15/1987	Campbell WJ	DEM	448	0
Ohariu	8/15/1987	Alyward DJR	MS	136	0
Ohariu	8/15/1987	Ralph KL	NZP	94	0
Onehunga	11/27/1946	Osborne AG	LAB	8639	1
Onehunga	11/27/1946	King WK	NAT	5215	0
Onehunga	11/30/1949	Osborne AG	LAB	8255	1
Onehunga	11/30/1949	Coates AA	NAT	5955	0
Onehunga	11/30/1949	Stanley R	C	198	0
Onehunga	9/1/1951	Osborne AG	LAB	8017	1
Onehunga	9/1/1951	Bradley LG	NAT	6051	0
Onehunga	12/19/1953	Watt H	LAB	6868	1
Onehunga	12/19/1953	Bradley LG	NAT	3385	0
Onehunga	11/13/1954	Watt H	LAB	9033	1
Onehunga	11/13/1954	Allen AE	NAT	4644	0
Onehunga	11/13/1954	James ER	SC	777	0
Onehunga	11/30/1957	Watt H	LAB	9752	1
Onehunga	11/30/1957	Watson D	NAT	4066	0
Onehunga	11/30/1957	Pealing GA	SC	667	0
Onehunga	11/26/1960	Watt H	LAB	8785	1
Onehunga	11/26/1960	Phillips PB	NAT	4080	0
Onehunga	11/26/1960	Leitch JC	SC	534	0
Onehunga	11/26/1960	McEwan D	C	97	0
Onehunga	11/30/1963	Watt H	LAB	9567	1
Onehunga	11/30/1963	Mason JP	NAT	4440	0
Onehunga	11/30/1963	Leitch JC	SC	741	0
Onehunga	11/30/1963	Lauder WF	LIB	274	0
Onehunga	11/30/1963	Hieatt SH	C	132	0
Onehunga	11/26/1966	Watt H	LAB	8361	1
Onehunga	11/26/1966	Double Mrs DTL	NAT	4096	0
Onehunga	11/26/1966	Robinson J	SC	1828	0
Onehunga	11/29/1969	Watt H	LAB	9574	1
Onehunga	11/29/1969	Double Mrs DTL	NAT	5035	0
Onehunga	11/29/1969	Benson A	SC	1373	0
Onehunga	11/25/1972	Watt H	LAB	10053	1
Onehunga	11/25/1972	Blakeborough PA	NAT	5218	0
Onehunga	11/25/1972	Benson A	SC	1669	0
Onehunga	11/25/1972	Bree AOA	ND	194	0
Onehunga	11/29/1975	Rogers FL	LAB	8264	1
Onehunga	11/29/1975	OÍBrien KA	NAT	7220	0
Onehunga	11/29/1975	Charlton JM	SC	1264	0
Onehunga	11/29/1975	Frost LB	V	1129	0
Onehunga	11/29/1975	Willis JB	SU	35	0
Onehunga	11/25/1978	Rogers FL	LAB	8837	1
Onehunga	11/25/1978	Hutchinson JBS	NAT	7420	0
Onehunga	11/25/1978	Park TK	SC	2135	0
Onehunga	11/25/1978	Paton Mrs D	V	390	0
Onehunga	11/25/1978	King-Ansell DC	NS	22	0
Onehunga	6/7/1980	Gerbic FM	LAB	6543	1
Onehunga	6/7/1980	Wood Mrs SM	NAT	5336	0
Onehunga	6/7/1980	Park TK	SC	1535	0
Onehunga	6/7/1980	Perry SC	I	134	0
Onehunga	6/7/1980	Terreni VLB	CO	35	0
Onehunga	6/7/1980	Overton JM	IBC	17	0
Onehunga	11/28/1981	Gerbic FM	LAB	8925	1
Onehunga	11/28/1981	Wood Mrs SM	NAT	6913	0
Onehunga	11/28/1981	Perry SC	SC	3040	0
Onehunga	7/14/1984	Gerbic FM	LAB	11354	1
Onehunga	7/14/1984	Freeman Mrs CA	NAT	6846	0
Onehunga	7/14/1984	Blakeborough PA	NZP	2894	0
Onehunga	7/14/1984	Terei DM	SC	841	0
Onehunga	7/14/1984	Symons Miss RHG	V	137	0
Onehunga	7/14/1984	Lusby SR	CS	83	0
Onehunga	8/15/1987	Gerbic FM	LAB	10753	1
Onehunga	8/15/1987	Stanley AA	NAT	7424	0
Onehunga	8/15/1987	Park TK	DEM	937	0
Onslow	11/27/1946	Combs HE	LAB	7880	1
Onslow	11/27/1946	Lynch PP	NAT	6302	0
Onslow	11/30/1949	Combs HE	LAB	9391	1
Onslow	11/30/1949	Meadowcroft JS	NAT	7464	0
Onslow	9/1/1951	Combs HE	LAB	9539	1
Onslow	9/1/1951	Meadowcroft JS	NAT	8433	0
Onslow	7/7/1954	May HLJ	LAB	-1	1
Onslow	11/13/1954	May HLJ	LAB	7898	1
Onslow	11/13/1954	Fortune WH	NAT	7379	0
Onslow	11/13/1954	Daniel BT	SC	916	0
Onslow	11/30/1957	May HLJ	LAB	8882	1
Onslow	11/30/1957	O'Brien KB	NAT	6207	0
Onslow	11/30/1957	Buckley FW	SC	779	0
Onslow	11/26/1960	May HLJ	LAB	8670	1
Onslow	11/26/1960	Clark Miss MJ	NAT	7880	0
Onslow	11/26/1960	Elliott EB	SC	920	0
Onslow	11/26/1960	Smith SE	C	101	0
Otago	11/27/1946	Bodkin WA	NAT	7874	1
Otago	11/27/1946	Capell C	LAB	4965	0
Otago	11/30/1949	Bodkin WA	NAT	8457	1
Otago	11/30/1949	Rodgers TA	LAB	4551	0
Otago	9/1/1951	Bodkin WA	NAT	8429	1
Otago	9/1/1951	Rodgers TA	LAB	4809	0
Otago	11/13/1954	George JH	NAT	6895	1
Otago	11/13/1954	Scott PJ	LAB	4821	0
Otago	11/13/1954	Newland AG	SC	2638	0
Otago	11/30/1957	George JH	NAT	7196	1
Otago	11/30/1957	Rapson JH	LAB	4408	0
Otago	11/30/1957	Sloan JDF	SC	1033	0
Otago	11/26/1960	George JH	NAT	7320	1
Otago	11/26/1960	MacDonell BP	LAB	2976	0
Otago	11/26/1960	Jones GI	SC	1372	0
Otago	11/30/1963	George JH	NAT	8388	1
Otago	11/30/1963	Rodger SJ	LAB	5713	0
Otago	11/26/1966	George JH	NAT	7060	1
Otago	11/26/1966	Griffiths BO	LAB	4755	0
Otago	11/26/1966	Jones GI	SC	2571	0
Otago	11/29/1969	Rose JM	NAT	6345	1
Otago	11/29/1969	Griffiths BO	LAB	5259	0
Otago	11/29/1969	McMullan PJJ	SC	2297	0
Otago	11/29/1969	Perkins JR	CP	793	0
Otago	11/29/1969	Wedderspoon PJ	DL	118	0
Otago	11/25/1972	Quigley IT	LAB	8544	1
Otago	11/25/1972	Rose JM	NAT	7061	0
Otago	11/25/1972	Woodhall J	SC	721	0
Otago	11/25/1972	Klap AJ	V	258	0
Otago	11/25/1972	McMullan PJJ	ND	140	0
Otago	11/29/1975	Cooper WE	NAT	10354	1
Otago	11/29/1975	Quigley IT	LAB	7983	0
Otago	11/29/1975	Moody RS	SC	910	0
Otago	11/29/1975	Perkins JR	V	542	0
Otago	11/25/1978	Cooper WE	NAT	9109	1
Otago	11/25/1978	Rutherford RJ	LAB	5387	0
Otago	11/25/1978	Ruru HTeH	SC	3236	0
Otago	11/25/1978	Pitches Mrs J	V	430	0
Otago	11/28/1981	Cooper WE	NAT	9970	1
Otago	11/28/1981	Griffiths BO	LAB	5077	0
Otago	11/28/1981	Robertson MJ	SC	4951	0
Otago	7/14/1984	Cooper WE	NAT	8884	1
Otago	7/14/1984	Poison JD	LAB	7509	0
Otago	7/14/1984	Thompson WJ	SC	3124	0
Otago	7/14/1984	Chittock FH	NZP	1501	0
Otago	8/15/1987	Cooper WE	NAT	9234	1
Otago	8/15/1987	Fisher CJ	LAB	7273	0
Otago	8/15/1987	Thompson WJ	DEM	1279	0
Otago	8/15/1987	Johnstone Ms P	W	178	0
Otahuhu	11/27/1946	Petrie CR	LAB	6957	1
Otahuhu	11/27/1946	Murdoch A	NAT	6737	0
Otahuhu	11/30/1949	Gotz FLAA	NAT	8493	1
Otahuhu	11/30/1949	Dixon AB	LAB	7218	0
Otahuhu	9/1/1951	Gotz FLAA	NAT	9668	1
Otahuhu	9/1/1951	Deas JM	LAB	7540	0
Otahuhu	11/13/1954	Deas JM	LAB	8162	1
Otahuhu	11/13/1954	Bradley LG	NAT	6356	0
Otahuhu	11/13/1954	Jordan FC	SC	875	0
Otahuhu	11/13/1954	Fulljames Mrs R	I	344	0
Otahuhu	11/30/1957	Deas JM	LAB	8927	1
Otahuhu	11/30/1957	Haszard RO	NAT	5485	0
Otahuhu	11/30/1957	Jordan FC	SC	714	0
Otahuhu	11/26/1960	Deas JM	LAB	9247	1
Otahuhu	11/26/1960	Tucker TJL	NAT	6473	0
Otahuhu	11/26/1960	Donovan AR	SC	622	0
Otahuhu	11/26/1960	Hieatt SH	C	114	0
Otahuhu	3/16/1963	Tizard RJ	LAB	6108	1
Otahuhu	3/16/1963	Tucker TJL	NAT	3450	0
Otahuhu	3/16/1963	Hieatt SH	C	125	0
Otahuhu	11/25/1972	Tizard RJ	LAB	9891	1
Otahuhu	11/25/1972	Brooker DC	NAT	3488	0
Otahuhu	11/25/1972	James ER	SC	935	0
Otahuhu	11/25/1972	Langstone Mrs CM	ND	101	0
Otahuhu	11/25/1972	Moosman JE	FM	56	0
Otahuhu	11/29/1975	Tizard RJ	LAB	8838	1
Otahuhu	11/29/1975	Morris Mrs LE	NAT	5053	0
Otahuhu	11/29/1975	Ford PS	SC	1020	0
Otahuhu	11/29/1975	Johnston PW	V	879	0
Otahuhu	11/29/1975	Miller Miss B	SU	26	0
Otahuhu	11/29/1975	Moosman JE	FM	22	0
Otahuhu	11/25/1978	Tizard RJ	LAB	8896	1
Otahuhu	11/25/1978	Ah Chee RP	NAT	4134	0
Otahuhu	11/25/1978	Harris KA	SC	2288	0
Otahuhu	11/25/1978	Johnson Mrs IM	V	236	0
Otahuhu	11/25/1978	Ayo Mrs EM	SU	23	0
Otahuhu	11/28/1981	Tizard RJ	LAB	8803	1
Otahuhu	11/28/1981	McDowell S	NAT	3639	0
Otahuhu	11/28/1981	Harris KA	SC	3189	0
Otahuhu	11/28/1981	Ayo Mrs EM	SU	54	0
Otaki	11/27/1946	Maher JJ	NAT	6762	1
Otaki	11/27/1946	Thorn J	LAB	6718	0
Otaki	11/30/1949	Maher JJ	NAT	8540	1
Otaki	11/30/1949	Capstick JJD	LAB	8166	0
Otaki	9/1/1951	Maher JJ	NAT	9897	1
Otaki	9/1/1951	Holloway PN	LAB	8755	0
Otaki	11/13/1954	Maher JJ	NAT	7767	1
Otaki	11/13/1954	Langford EH	LAB	6804	0
Otaki	11/13/1954	Clunie GT	SC	1746	0
Otaki	11/30/1957	Maher JJ	NAT	7620	1
Otaki	11/30/1957	Shamy CGJ	LAB	6498	0
Otaki	11/30/1957	Clunie GT	SC	1379	0
Otaki	11/26/1960	McCready A	NAT	8938	1
Otaki	11/26/1960	Cameron TW	LAB	6894	0
Otaki	11/26/1960	Clunie GT	SC	1758	0
Otaki	11/30/1963	McCready A	NAT	8950	1
Otaki	11/30/1963	McDonald GN	LAB	5936	0
Otaki	11/30/1963	Nixon AJ	SC	1634	0
Otaki	11/30/1963	Liddell OP	LIB	378	0
Otaki	11/26/1966	McCready A	NAT	9193	1
Otaki	11/26/1966	Herbert GW	LAB	5618	0
Otaki	11/26/1966	Nixon AJ	SC	3587	0
Otaki	11/29/1969	McCready A	NAT	9228	1
Otaki	11/29/1969	Scott JM	LAB	7191	0
Otaki	11/29/1969	Nixon AJ	SC	2173	0
Otara	7/14/1984	Moyle CJ	LAB	10583	1
Otara	7/14/1984	Tahia MMM	NAT	4064	0
Otara	7/14/1984	Hoera Mrs BT	NZP	1762	0
Otara	7/14/1984	Davis RD	SC	839	0
Otara	7/14/1984	Tamihere RB	MM	94	0
Otara	8/15/1987	Moyle CJ	LAB	8985	1
Otara	8/15/1987	Rogers TV	NAT	6576	0
Otara	8/15/1987	Clark JL	DEM	700	0
Otara	8/15/1987	Le Pou EF	SA	77	0
Pahiatua	11/27/1946	Holyoake KJ	NAT	8422	1
Pahiatua	11/27/1946	Niederer OE	LAB	4725	0
Pahiatua	11/30/1949	Holyoake KJ	NAT	8663	1
Pahiatua	11/30/1949	O'Leary GP	LAB	4156	0
Pahiatua	9/1/1951	Holyoake KJ	NAT	8490	1
Pahiatua	9/1/1951	Jones O	LAB	3892	0
Pahiatua	11/13/1954	Holyoake KJ	NAT	7293	1
Pahiatua	11/13/1954	Bell R	LAB	3774	0
Pahiatua	11/13/1954	Whimp MM	SC	731	0
Pahiatua	11/30/1957	Holyoake KJ	NAT	8075	1
Pahiatua	11/30/1957	Rose WE	LAB	4055	0
Pahiatua	11/30/1957	Gunn RM	SC	887	0
Pahiatua	11/26/1960	Holyoake KJ	NAT	8111	1
Pahiatua	11/26/1960	McKane KDT	LAB	3177	0
Pahiatua	11/26/1960	Dempsey PJ	SC	1298	0
Pahiatua	11/30/1963	Holyoake KJ	NAT	9039	1
Pahiatua	11/30/1963	Hemmingsen EJ	LAB	3306	0
Pahiatua	11/30/1963	Marks OR	SC	1411	0
Pahiatua	11/26/1966	Holyoake KJ	NAT	7914	1
Pahiatua	11/26/1966	OÍBrien FM	LAB	2623	0
Pahiatua	11/26/1966	Morrow JH	SC	2207	0
Pahiatua	11/26/1966	Cheer RE	I	71	0
Pahiatua	11/29/1969	Holyoake KJ	NAT	9010	1
Pahiatua	11/29/1969	De Cleene TA	LAB	4090	0
Pahiatua	11/29/1969	Conway DJF	SC	1131	0
Pahiatua	11/29/1969	Farnsworth CKR	CP	240	0
Pahiatua	11/25/1972	Holyoake Sir Keith	NAT	8825	1
Pahiatua	11/25/1972	Cairns LJ	LAB	4466	0
Pahiatua	11/25/1972	Morrow JH	SC	1022	0
Pahiatua	11/25/1972	Cheer RE	LR	253	0
Pahiatua	11/25/1972	Duffy JW	ND	115	0
Pahiatua	11/29/1975	Holyoake Sir Keith	NAT	10423	1
Pahiatua	11/29/1975	Thornicroft PR	LAB	3654	0
Pahiatua	11/29/1975	Hislop GWE	SC	1585	0
Pahiatua	11/29/1975	McHugh PW	V	574	0
Pahiatua	4/30/1977	Falloon JH	NAT	9059	1
Pahiatua	4/30/1977	Levett AE	LAB	4280	0
Pahiatua	4/30/1977	Hislop GWE	SC	844	0
Pahiatua	4/30/1977	McHugh PW	V	194	0
Pahiatua	11/25/1978	Falloon JH	NAT	10971	1
Pahiatua	11/25/1978	Hills PMA	LAB	4296	0
Pahiatua	11/25/1978	Sheppard DJW	SC	2898	0
Pahiatua	11/25/1978	Hager NA	V	394	0
Pahiatua	11/28/1981	Falloon JH	NAT	11381	1
Pahiatua	11/28/1981	Sutton WD	LAB	3812	0
Pahiatua	11/28/1981	Addis K	SC	3199	0
Pahiatua	11/28/1981	Wyn-Harris T	I	511	0
Pahiatua	7/14/1984	Falloon JH	NAT	10228	1
Pahiatua	7/14/1984	Brazendale M	LAB	4750	0
Pahiatua	7/14/1984	Cameron HDJ	NZP	2874	0
Pahiatua	7/14/1984	Addis K	SC	1094	0
Pahiatua	7/14/1984	Wyn-Harris T	V	192	0
Pahiatua	8/15/1987	Falloon JH	NAT	11968	1
Pahiatua	8/15/1987	Martindale Ms ME	LAB	4885	0
Pahiatua	8/15/1987	de Boam AM	DEM	813	0
Pakuranga	11/30/1963	Tizard RJ	LAB	8394	1
Pakuranga	11/30/1963	Neville-White RM	NAT	6379	0
Pakuranga	11/30/1963	Wreaks TR	SC	690	0
Pakuranga	11/30/1963	Smith Mrs LR	C	104	0
Pakuranga	11/26/1966	Tizard RJ	LAB	9380	1
Pakuranga	11/26/1966	Thompson VD	NAT	7121	0
Pakuranga	11/26/1966	Wreaks TR	SC	1588	0
Pakuranga	11/26/1966	Moosman JE	FMP	71	0
Pakuranga	11/29/1969	Tizard RJ	LAB	9030	1
Pakuranga	11/29/1969	Holmes NW	NAT	7777	0
Pakuranga	11/29/1969	Robinson J	SC	692	0
Pakuranga	11/29/1969	Posa Mrs EV	WIP	80	0
Pakuranga	11/29/1969	Smith Mrs LR	C	40	0
Pakuranga	11/29/1969	Moosman JE	FMP	17	0
Pakuranga	11/25/1972	Downie GPA	NAT	9310	1
Pakuranga	11/25/1972	Irwin JB	LAB	7508	0
Pakuranga	11/25/1972	Southon BJ	SC	1153	0
Pakuranga	11/25/1972	Collins FJ	ND	126	0
Pakuranga	11/29/1975	Downie GPA	NAT	14192	1
Pakuranga	11/29/1975	Braybrooke GB	LAB	7176	0
Pakuranga	11/29/1975	Jenner ML	V	1349	0
Pakuranga	11/29/1975	Morrison NJ	SC	1265	0
Pakuranga	11/29/1975	Curtis BJ	I	356	0
Pakuranga	11/29/1975	Filmer CV	A	19	0
Pakuranga	11/29/1975	Gribble MH	S	12	0
Pakuranga	11/25/1978	Hunt TdeV	NAT	7615	1
Pakuranga	11/25/1978	Smith Mrs EJ	LAB	5504	0
Pakuranga	11/25/1978	Downie GPA	IN	4455	0
Pakuranga	11/25/1978	Morrison NJ	SC	2918	0
Pakuranga	11/25/1978	Walker MHT	V	269	0
Pakuranga	11/28/1981	Hunt TdeV	NAT	9908	1
Pakuranga	11/28/1981	Morrison NJ	SC	9125	0
Pakuranga	11/28/1981	Turner CP	LAB	5066	0
Pakuranga	11/28/1981	Marriott JR	I	110	0
Pakuranga	7/14/1984	Morrison NJ	SC	8271	1
Pakuranga	7/14/1984	Hunt TdeV	NAT	8099	0
Pakuranga	7/14/1984	Grierson Mrs JA	NZP	3804	0
Pakuranga	7/14/1984	Williams GDGC	LAB	3101	0
Pakuranga	7/14/1984	Marriott JR	I	39	0
Pakuranga	8/15/1987	Williamson MD	NAT	8987	1
Pakuranga	8/15/1987	Morrison NJ	DEM	6969	0
Pakuranga	8/15/1987	Wilson BVM	LAB	4700	0
Pakuranga	8/15/1987	Bogrich Ms S	CzP	70	0
Palmerston North	11/27/1946	Wilson GHO	LAB	7237	1
Palmerston North	11/27/1946	Mansford AE	NAT	6309	0
Palmerston North	11/30/1949	Tennent WB	NAT	7368	1
Palmerston North	11/30/1949	Wilson GHO	LAB	6850	0
Palmerston North	9/1/1951	Tennent WB	NAT	7288	1
Palmerston North	9/1/1951	Hodgens J	LAB	7088	0
Palmerston North	11/13/1954	Skoglund POS	LAB	7160	1
Palmerston North	11/13/1954	Tennent WB	NAT	6814	0
Palmerston North	11/13/1954	Wood SW	SC	863	0
Palmerston North	11/30/1957	Skoglund POS	LAB	7931	1
Palmerston North	11/30/1957	Brown WH	NAT	6583	0
Palmerston North	11/30/1957	Kensington HHE	SC	978	0
Palmerston North	11/26/1960	Brown WH	NAT	7401	1
Palmerston North	11/26/1960	Skoglund POS	LAB	7268	0
Palmerston North	11/26/1960	Gunn RM	SC	1186	0
Palmerston North	11/26/1960	Manning FW	C	79	0
Palmerston North	11/30/1963	Brown WH	NAT	8047	1
Palmerston North	11/30/1963	Skoglund POS	LAB	7275	0
Palmerston North	11/30/1963	Greenwood TA	SC	815	0
Palmerston North	11/30/1963	Pedley RJ	LIB	165	0
Palmerston North	11/30/1963	Allison GA	C	58	0
Palmerston North	11/26/1966	Brown WH	NAT	7865	1
Palmerston North	11/26/1966	Walding JA	LAB	7606	0
Palmerston North	11/26/1966	Thew G	SC	1620	0
Palmerston North	12/2/1967	Walding JA	LAB	6939	1
Palmerston North	12/2/1967	Cruden GN	NAT	6347	0
Palmerston North	12/2/1967	O'Brien JB	SC	2410	0
Palmerston North	12/2/1967	Wedderspoon PJ	DL	61	0
Palmerston North	12/2/1967	Goldringham JQ	Prog	34	0
Palmerston North	11/29/1969	Walding JA	LAB	8492	1
Palmerston North	11/29/1969	Cruden GN	NAT	8331	0
Palmerston North	11/29/1969	Hunter LW	SC	1229	0
Palmerston North	11/25/1972	Walding JA	LAB	8888	1
Palmerston North	11/25/1972	Mitchell PW	NAT	7122	0
Palmerston North	11/25/1972	Harper BK	SC	694	0
Palmerston North	11/25/1972	Woodhams DJ	V	676	0
Palmerston North	11/25/1972	Mouse M	MH	76	0
Palmerston North	11/25/1972	Inglis Mrs LA	ND	32	0
Palmerston North	11/29/1975	Lithgow JL	NAT	8801	1
Palmerston North	11/29/1975	Walding JA	LAB	8659	0
Palmerston North	11/29/1975	Edmonds PJ	SC	1453	0
Palmerston North	11/29/1975	Rennie NW	V	1378	0
Palmerston North	11/25/1978	Walding JA	LAB	10629	1
Palmerston North	11/25/1978	Lithgow JL	NAT	7893	0
Palmerston North	11/25/1978	Edmonds PJ	SC	2558	0
Palmerston North	11/25/1978	Serrallach GF	V	551	0
Palmerston North	11/25/1978	Smith AJ	T	48	0
Palmerston North	11/28/1981	De Cleene TA	LAB	10425	1
Palmerston North	11/28/1981	Elwood BGC	NAT	8315	0
Palmerston North	11/28/1981	Lush Ms JT	SC	2567	0
Palmerston North	11/28/1981	Kaa HTeM	V	113	0
Palmerston North	11/28/1981	Harris WJ	I	87	0
Palmerston North	7/14/1984	De Cleene TA	LAB	10341	1
Palmerston North	7/14/1984	Singleton Miss CG	NAT	7308	0
Palmerston North	7/14/1984	Couper Mrs C	NZP	2123	0
Palmerston North	7/14/1984	Smith Mrs M	SC	765	0
Palmerston North	8/15/1987	De Cleene TA	LAB	11192	1
Palmerston North	8/15/1987	Curry PJ	NAT	7955	0
Palmerston North	8/15/1987	Lush Ms JT	DEM	505	0
Palmerston North	8/15/1987	Colless NG	MS	170	0
Palmerston North	8/15/1987	Halford Ms EB	NZP	90	0
Panmure	7/14/1984	Tizard RJ	LAB	10374	1
Panmure	7/14/1984	Tedesco C	NAT	4395	0
Panmure	7/14/1984	Orme AFA	NZP	2077	0
Panmure	7/14/1984	Clark JL	SC	1402	0
Panmure	7/14/1984	Morse JC	V	77	0
Panmure	8/15/1987	Tizard RJ	LAB	9650	1
Panmure	8/15/1987	Elliott TJC	NAT	5403	0
Panmure	8/15/1987	Clifford Ms A	DEM	1306	0
Papakura	11/25/1978	Wellington ML	NAT	8581	1
Papakura	11/25/1978	Braybrooke GB	LAB	4959	0
Papakura	11/25/1978	Cheeseman JS	SC	3401	0
Papakura	11/25/1978	Frost LB	V	187	0
Papakura	11/28/1981	Wellington ML	NAT	8384	1
Papakura	11/28/1981	Cheeseman JS	SC	5169	0
Papakura	11/28/1981	Anderson EM	LAB	4941	0
Papakura	7/14/1984	Wellington ML	NAT	8459	1
Papakura	7/14/1984	John DL	LAB	7012	0
Papakura	7/14/1984	Prior REW	NZP	1984	0
Papakura	7/14/1984	Cheeseman JS	SC	1906	0
Papakura	7/14/1984	White Ms SJ	I	29	0
Papakura	7/14/1984	Smith RAJ	I	28	0
Papakura	8/15/1987	Wellington ML	NAT	9846	1
Papakura	8/15/1987	Summers GI	LAB	6952	0
Papakura	8/15/1987	McDonald MS	DEM	972	0
Papakura	8/15/1987	Blackadder Mrs ME	NZP	194	0
Papanui	11/29/1969	Walker HJ	NAT	9242	1
Papanui	11/29/1969	Hobby MP	LAB	7146	0
Papanui	11/29/1969	Matthews JC	SC	771	0
Papanui	11/29/1969	Sadler MBD	KPP	99	0
Papanui	11/25/1972	Walker HJ	NAT	9278	1
Papanui	11/25/1972	Clark Mrs MMcG	LAB	7544	0
Papanui	11/25/1972	Williams GJ	V	533	0
Papanui	11/25/1972	Laking B	SC	480	0
Papanui	11/25/1972	Beaumont OV	UM	48	0
Papanui	11/25/1972	Grenfell RJ	ND	37	0
Papanui	11/29/1975	Walker HJ	NAT	10238	1
Papanui	11/29/1975	Garden RA	LAB	7253	0
Papanui	11/29/1975	Kunowski AH	V	1490	0
Papanui	11/29/1975	Laking B	SC	509	0
Papanui	11/25/1978	Moore MK	LAB	10737	1
Papanui	11/25/1978	Walker HJ	NAT	7448	0
Papanui	11/25/1978	Clover GAM	SC	1359	0
Papanui	11/25/1978	Kunowski AH	V	735	0
Papanui	11/25/1978	Collins JS	T	8	0
Papanui	11/28/1981	Moore MK	LAB	11524	1
Papanui	11/28/1981	Keeley BS	NAT	7115	0
Papanui	11/28/1981	Langridge TE	SC	2174	0
Papatoetoe	11/25/1978	Isbey EE	LAB	8412	1
Papatoetoe	11/25/1978	Bidois C	NAT	6901	0
Papatoetoe	11/25/1978	Shaaw AW	SC	2861	0
Papatoetoe	11/25/1978	Crozier MR	V	217	0
Papatoetoe	11/28/1981	Isbey EE	LAB	8109	1
Papatoetoe	11/28/1981	McKeen R	NAT	6420	0
Papatoetoe	11/28/1981	Shaw AW	SC	4251	0
Papatoetoe	7/14/1984	Isbey EE	LAB	9697	1
Papatoetoe	7/14/1984	O'Brien PF	NAT	6701	0
Papatoetoe	7/14/1984	Craven DJ	NZP	2479	0
Papatoetoe	7/14/1984	Harvey F	SC	935	0
Papatoetoe	8/15/1987	Robertson HVR	LAB	9795	1
Papatoetoe	8/15/1987	Martin HR	NAT	7106	0
Papatoetoe	8/15/1987	Shirley BD	DEM	813	0
Papatoetoe	8/15/1987	Martin Mrs IR	NZP	225	0
Parnell	11/27/1946	Rae DM	NAT	6059	1
Parnell	11/27/1946	Schramm FW	LAB	5853	0
Parnell	11/30/1949	Rae DM	NAT	6255	1
Parnell	11/30/1949	Schramm FW	LAB	5295	0
Parnell	11/30/1949	Smith Mrs LR	C	131	0
Parnell	9/1/1951	Rae DM	NAT	6355	1
Parnell	9/1/1951	Watt H	LAB	4768	0
Patea	11/27/1946	Sheat WA	NAT	7227	1
Patea	11/27/1946	O'Dea RJ	LAB	6357	0
Patea	11/30/1949	Sheat WA	NAT	7802	1
Patea	11/30/1949	Finer FW	LAB	5961	0
