"ID","Name","Party","Date","Electorate","Incumbent","TermsServed","CabinetNow","CabinetEver","CabinetImportant","CabinetPM","Votes","Elected","ElectedList","ElectedElectorate","LastVotes","ListPosition","LastListPosition"
144,"Hill DA","Labour","1946-11-27","Tauranga",0,0,0,0,0,0,5227,0,0,0,0,0,0
145,"Carr CL","Labour","1946-11-27","Timaru",1,5,0,0,0,0,7005,1,0,1,0,0,0
146,"Acland J","National","1946-11-27","Timaru",1,2,0,0,0,0,6485,0,0,0,0,0,0
147,"Sim GF","National","1946-11-27","Waikato",1,1,0,0,0,0,8782,1,0,1,0,0,0
148,"Dwyer J","Labour","1946-11-27","Waikato",0,0,0,0,0,0,4397,0,0,0,0,0,0
149,"Kearins PR","Labour","1946-11-27","Waimarino",0,0,0,0,0,0,6755,1,0,1,0,0,0
150,"Hill NR","National","1946-11-27","Waimarino",0,0,0,0,0,0,6074,0,0,0,0,0,0
151,"Kidd DC","National","1946-11-27","Waimate",1,2,0,0,0,0,6922,1,0,1,0,0,0
152,"Davison WR","Labour","1946-11-27","Waimate",0,0,0,0,0,0,6133,0,0,0,0,0,0
153,"Mackley GH","National","1946-11-27","Wairarapa",1,1,0,0,0,0,7095,1,0,1,0,0,0
154,"Hansen GA","Labour","1946-11-27","Wairarapa",0,0,0,0,0,0,6860,0,0,0,0,0,0
155,"Mason HGR","Labour","1946-11-27","Waitakere",1,6,1,1,1,0,8285,1,0,1,0,0,0
156,"Laing AM","National","1946-11-27","Waitakere",0,0,0,0,0,0,5488,0,0,0,0,0,0
157,"Allen F","I","1946-11-27","Waitakere",0,0,0,0,0,0,235,0,0,0,0,0,0
158,"Broadfoot WJ","National","1946-11-27","Waitomo",1,5,0,0,0,0,8440,1,0,1,0,0,0
159,"Goldsmith AG","Labour","1946-11-27","Waitomo",0,0,0,0,0,0,4489,0,0,0,0,0,0
160,"MacDonald TL","National","1946-11-27","Wallace",1,2,0,0,0,0,8068,1,0,1,0,0,0
161,"Munro DJ","Labour","1946-11-27","Wallace",0,0,0,0,0,0,4352,0,0,0,0,0,0
162,"Murrell LA","I","1946-11-27","Wallace",0,0,0,0,0,0,95,0,0,0,0,0,0
163,"Chapman CH","Labour","1946-11-27","Wellington Central",1,5,0,0,0,0,6201,1,0,1,0,0,0
164,"Weston AL","National","1946-11-27","Wellington Central",0,0,0,0,0,0,4521,0,0,0,0,0,0
165,"Marumaru HTU","National","1946-11-27","Western Maori",1,1,0,0,0,0,2809,1,0,1,0,0,0
166,"Amohanga PRMM","I","1946-11-27","Western Maori",0,0,0,0,0,0,217,0,0,0,0,0,0
167,"Hou RK","I","1946-11-27","Western Maori",0,0,0,0,0,0,157,0,0,0,0,0,0
168,"O'Brien J","Labour","1946-11-27","Westland",1,4,0,0,0,0,9097,1,0,1,0,0,0
169,"Chivers EF","National","1946-11-27","Westland",0,0,0,0,0,0,4381,0,0,0,0,0,0
170,"Cotterill JBF","Labour","1946-11-27","Whanganui",1,3,0,0,0,0,7833,1,0,1,0,0,0
171,"Merewether EW","National","1946-11-27","Whanganui",0,0,0,0,0,0,5899,0,0,0,0,0,0
52,"Mathison J","Labour","1947-05-28","Avon",0,0,0,0,0,0,8513,1,0,1,5681,0,0
9,"McDowell RA","National","1947-05-28","Avon",0,0,0,0,0,0,4422,0,0,0,4359,0,0
172,"Robertson JR","I","1947-05-28","Avon",0,0,0,0,0,0,100,0,0,0,0,0,0
30,"Freer WW","Labour","1947-09-24","Mt Albert",0,0,0,0,0,0,7235,1,0,1,5774,0,0
173,"Garland JC","National","1947-09-24","Mt Albert",0,0,0,0,0,0,5682,0,0,0,0,0,0
174,"Kent JB","Labour","1947-12-03","Westland",0,0,0,0,0,0,7427,1,0,1,0,0,0
175,"Lockington JF","National","1947-12-03","Westland",0,0,0,0,0,0,5405,0,0,0,0,0,0
1,"Parry WE","Labour","1949-11-30","Arch Hull",1,9,0,0,0,0,8399,1,0,1,9558,0,0
176,"Smith GF","National","1949-11-30","Arch Hull",0,0,0,0,0,0,3225,0,0,0,0,0,0
3,"Wilcox VG","C","1949-11-30","Arch Hull",0,0,0,0,0,0,343,0,0,0,534,0,0
4,"Gerard RG","National","1949-11-30","Ashburton",1,2,0,0,0,0,7642,1,0,1,7386,0,0
177,"Rose WE","Labour","1949-11-30","Ashburton",0,0,0,0,0,0,5257,0,0,0,0,0,0
