"ID","Name","Party","Date","Electorate","Incumbent","TermsServed","CabinetNow","CabinetEver","CabinetImportant","CabinetPM","Votes","Elected","ElectedList","ElectedElectorate","LastVotes","ListPosition","LastListPosition"
2568,"Pene KK","MM","1987-08-15","Mangere",0,0,0,0,0,0,156,0,0,0,0,0,0
1050,"Douglas RO","Labour","1987-08-15","Manurewa",1,6,1,1,1,0,9255,1,0,1,10157,0,0
2569,"Cunningham G","National","1987-08-15","Manurewa",0,0,0,0,0,0,6203,0,0,0,0,0,0
2265,"Kilford JE","Democratic","1987-08-15","Manurewa",0,0,0,0,0,0,606,0,0,0,909,0,0
2266,"Watson SJ","I","1987-08-15","Manurewa",0,0,0,0,0,0,189,0,0,0,120,0,0
2570,"Bercich WA","NZP","1987-08-15","Manurewa",0,0,0,0,0,0,129,0,0,0,0,0,0
1195,"Birch WF","National","1987-08-15","Maramarua",1,5,1,1,0,0,11077,1,0,1,10501,0,0
2353,"Dent BR","Labour","1987-08-15","Maramarua",0,0,0,0,0,0,5348,0,0,0,6147,0,0
1884,"Gilberd RC","Democratic","1987-08-15","Maramarua",0,0,0,0,0,0,1305,0,0,0,1772,0,0
1830,"Kidd DL","National","1987-08-15","Marlborough",1,3,0,0,0,0,11189,1,0,1,9472,0,0
2571,"Hutchinson PB","Labour","1987-08-15","Marlborough",0,0,0,0,0,0,8787,0,0,0,0,0,0
2572,"MacArthur RS","Democratic","1987-08-15","Marlborough",0,0,0,0,0,0,650,0,0,0,0,0,0
1832,"Bell DJ","Cl","1987-08-15","Marlborough",0,0,0,0,0,0,109,0,0,0,43,0,0
2271,"Yealands SW","I","1987-08-15","Marlborough",0,0,0,0,0,0,97,0,0,0,87,0,0
941,"Luxton MJF","National","1987-08-15","Matamata",1,7,0,0,0,0,11270,1,0,1,9475,0,0
2573,"McGregor DW","Labour","1987-08-15","Matamata",0,0,0,0,0,0,4344,0,0,0,0,0,0
2574,"Pemberton JS","Democratic","1987-08-15","Matamata",0,0,0,0,0,0,783,0,0,0,0,0,0
2408,"Cairns GW","MS","1987-08-15","Matamata",0,0,0,0,0,0,255,0,0,0,117,0,0
2040,"Neilson P","Labour","1987-08-15","Miramar",1,2,0,0,0,0,11556,1,0,1,11102,0,0
2575,"MacFarlane IG","National","1987-08-15","Miramar",0,0,0,0,0,0,7495,0,0,0,0,0,0
2436,"Coad DR","Democratic","1987-08-15","Miramar",0,0,0,0,0,0,468,0,0,0,407,0,0
2576,"Walker VL","PPF","1987-08-15","Miramar",0,0,0,0,0,0,433,0,0,0,0,0,0
2577,"Smith SM","MS","1987-08-15","Miramar",0,0,0,0,0,0,143,0,0,0,0,0,0
2578,"Purvis BH","N2P","1987-08-15","Miramar",0,0,0,0,0,0,50,0,0,0,0,0,0
1245,"Moncur FW","PE","1987-08-15","Miramar",0,0,0,0,0,0,32,0,0,0,31,0,0
2042,"Clark HE","Labour","1987-08-15","Mt Albert",1,2,0,0,0,0,11326,1,0,1,12231,0,0
2579,"Wheeler RB","National","1987-08-15","Mt Albert",0,0,0,0,0,0,5989,0,0,0,0,0,0
2580,"Dance GLM","Democratic","1987-08-15","Mt Albert",0,0,0,0,0,0,861,0,0,0,0,0,0
2087,"Moses ML","I","1987-08-15","Mt Albert",0,0,0,0,0,0,171,0,0,0,54,0,0
1196,"Braybrooke GB","Labour","1987-08-15","Napier",1,2,0,0,0,0,11770,1,0,1,12085,0,0
2581,"Church AC","National","1987-08-15","Napier",0,0,0,0,0,0,6345,0,0,0,0,0,0
2582,"Shakes BV","Democratic","1987-08-15","Napier",0,0,0,0,0,0,586,0,0,0,0,0,0
2044,"Woollaston PTE","Labour","1987-08-15","Nelson",1,2,0,0,0,0,11975,1,0,1,10288,0,0
2283,"Straight RS","National","1987-08-15","Nelson",0,0,0,0,0,0,6508,0,0,0,2773,0,0
2583,"Barber NEA","I","1987-08-15","Nelson",0,0,0,0,0,0,1227,0,0,0,0,0,0
2047,"Ward MG","V","1987-08-15","Nelson",0,0,0,0,0,0,494,0,0,0,219,0,0
2285,"Collin JE","Social Credit","1987-08-15","Nelson",0,0,0,0,0,0,415,0,0,0,318,0,0
2584,"Hackman M","I","1987-08-15","Nelson",0,0,0,0,0,0,69,0,0,0,0,0,0
923,"Hunt JL","Labour","1987-08-15","New Lynn",1,7,1,1,0,0,10546,1,0,1,11334,0,0
2585,"Berry RG","National","1987-08-15","New Lynn",0,0,0,0,0,0,6177,0,0,0,0,0,0
2586,"Beddow WM","Democratic","1987-08-15","New Lynn",0,0,0,0,0,0,1016,0,0,0,0,0,0
2587,"Wilson RK","NZP","1987-08-15","New Lynn",0,0,0,0,0,0,215,0,0,0,0,0,0
2588,"Duynhoven HJ","Labour","1987-08-15","New Plymouth",0,0,0,0,0,0,10320,1,0,1,0,0,0
1586,"Friedlander APD","National","1987-08-15","New Plymouth",1,4,0,0,0,0,9883,0,0,0,9900,0,0
2363,"Steele KD","Democratic","1987-08-15","New Plymouth",0,0,0,0,0,0,413,0,0,0,594,0,0
2382,"McCready BA","NZP","1987-08-15","New Plymouth",0,0,0,0,0,0,131,0,0,0,2197,0,0
2589,"McDonald GA","V","1987-08-15","New Plymouth",0,0,0,0,0,0,89,0,0,0,0,0,0
926,"Gair GF","National","1987-08-15","North Shore",1,7,1,1,0,0,10589,1,0,1,11034,0,0
2590,"Ransom GR","Labour","1987-08-15","North Shore",0,0,0,0,0,0,9883,0,0,0,0,0,0
2591,"Holmes F","Democratic","1987-08-15","North Shore",0,0,0,0,0,0,861,0,0,0,0,0,0
2592,"Greenfield ST","NZP","1987-08-15","North Shore",0,0,0,0,0,0,445,0,0,0,0,0,0
1971,"Gregory BC","Labour","1987-08-15","Northern Maori",1,3,0,0,0,0,7760,1,0,1,10471,0,0
733,"Rata M","MM","1987-08-15","Northern Maori",0,0,0,1,0,0,4231,0,0,0,2783,0,0
2593,"Albert E","National","1987-08-15","Northern Maori",0,0,0,0,0,0,1079,0,0,0,0,0,0
2594,"McKay PH","Democratic","1987-08-15","Northern Maori",0,0,0,0,0,0,329,0,0,0,0,0,0
2296,"Dunne PF","Labour","1987-08-15","Ohariu",1,1,0,0,0,0,12983,1,0,1,8282,0,0
2595,"Lloyd DW","National","1987-08-15","Ohariu",0,0,0,0,0,0,8491,0,0,0,0,0,0
2244,"Campbell WJ","Democratic","1987-08-15","Ohariu",0,0,0,0,0,0,448,0,0,0,4382,0,0
2596,"Alyward DJR","MS","1987-08-15","Ohariu",0,0,0,0,0,0,136,0,0,0,0,0,0
2597,"Ralph KL","NZP","1987-08-15","Ohariu",0,0,0,0,0,0,94,0,0,0,0,0,0
1974,"Gerbic FM","Labour","1987-08-15","Onehunga",1,3,0,0,0,0,10753,1,0,1,11354,0,0
2598,"Stanley AA","National","1987-08-15","Onehunga",0,0,0,0,0,0,7424,0,0,0,0,0,0
2351,"Park TK","Democratic","1987-08-15","Onehunga",0,0,0,0,0,0,937,0,0,0,599,0,0
1600,"Cooper WE","National","1987-08-15","Otago",1,4,1,1,1,0,9234,1,0,1,8884,0,0
2421,"Fisher CJ","Labour","1987-08-15","Otago",0,0,0,0,0,0,7273,0,0,0,4371,0,0
2306,"Thompson WJ","Democratic","1987-08-15","Otago",0,0,0,0,0,0,1279,0,0,0,3124,0,0
2599,"Johnstone P","W","1987-08-15","Otago",0,0,0,0,0,0,178,0,0,0,0,0,0
781,"Moyle CJ","Labour","1987-08-15","Otara",1,2,1,1,0,0,8985,1,0,1,10583,0,0
2600,"Rogers TV","National","1987-08-15","Otara",0,0,0,0,0,0,6576,0,0,0,0,0,0
2601,"Clark JL","Democratic","1987-08-15","Otara",0,0,0,0,0,0,700,0,0,0,0,0,0
2602,"Le Pou EF","SA","1987-08-15","Otara",0,0,0,0,0,0,77,0,0,0,0,0,0
1717,"Falloon JH","National","1987-08-15","Pahiatua",1,4,1,1,0,0,11968,1,0,1,10228,0,0
2603,"Martindale ME","Labour","1987-08-15","Pahiatua",0,0,0,0,0,0,4885,0,0,0,0,0,0
2604,"de Boam AM","Democratic","1987-08-15","Pahiatua",0,0,0,0,0,0,813,0,0,0,0,0,0
2605,"Williamson MD","National","1987-08-15","Pakuranga",0,0,0,0,0,0,8987,1,0,1,0,0,0
1187,"Morrison NJ","Democratic","1987-08-15","Pakuranga",1,1,0,0,0,0,6969,0,0,0,8271,0,0
2606,"Wilson BVM","Labour","1987-08-15","Pakuranga",0,0,0,0,0,0,4700,0,0,0,0,0,0
2607,"Bogrich S","CzP","1987-08-15","Pakuranga",0,0,0,0,0,0,70,0,0,0,0,0,0
1822,"De Cleene TA","Labour","1987-08-15","Palmerston North",1,2,0,0,0,0,11192,1,0,1,10341,0,0
2608,"Curry PJ","National","1987-08-15","Palmerston North",0,0,0,0,0,0,7955,0,0,0,0,0,0
2609,"Lush JT","Democratic","1987-08-15","Palmerston North",0,0,0,0,0,0,505,0,0,0,0,0,0
2610,"Colless NG","MS","1987-08-15","Palmerston North",0,0,0,0,0,0,170,0,0,0,0,0,0
2611,"Halford EB","NZP","1987-08-15","Palmerston North",0,0,0,0,0,0,90,0,0,0,0,0,0
310,"Tizard RJ","Labour","1987-08-15","Panmure",1,8,1,1,0,0,9650,1,0,1,10374,0,0
2612,"Elliott TJC","National","1987-08-15","Panmure",0,0,0,0,0,0,5403,0,0,0,0,0,0
2613,"Clifford A","Democratic","1987-08-15","Panmure",0,0,0,0,0,0,1306,0,0,0,0,0,0
1871,"Wellington ML","National","1987-08-15","Papakura",1,3,1,1,0,0,9846,1,0,1,8459,0,0
2614,"Summers GI","Labour","1987-08-15","Papakura",0,0,0,0,0,0,6952,0,0,0,0,0,0
2615,"McDonald MS","Democratic","1987-08-15","Papakura",0,0,0,0,0,0,972,0,0,0,0,0,0
2616,"Blackadder ME","NZP","1987-08-15","Papakura",0,0,0,0,0,0,194,0,0,0,0,0,0
2617,"Robertson HVR","Labour","1987-08-15","Papatoetoe",0,0,0,0,0,0,9795,1,0,1,0,0,0
2618,"Martin HR","National","1987-08-15","Papatoetoe",0,0,0,0,0,0,7106,0,0,0,0,0,0
2619,"Shirley BD","Democratic","1987-08-15","Papatoetoe",0,0,0,0,0,0,813,0,0,0,0,0,0
2620,"Martin IR","NZP","1987-08-15","Papatoetoe",0,0,0,0,0,0,225,0,0,0,0,0,0
2621,"Davies SML","Labour","1987-08-15","Pencarrow",0,0,0,0,0,0,7524,1,0,1,0,0,0
2622,"Harvey AW","National","1987-08-15","Pencarrow",0,0,0,0,0,0,5673,0,0,0,0,0,0
2623,"Greig IS","LL","1987-08-15","Pencarrow",0,0,0,0,0,0,3686,0,0,0,0,0,0
2624,"Carter PJ","Democratic","1987-08-15","Pencarrow",0,0,0,0,0,0,834,0,0,0,0,0,0
2625,"Renata PO","IL","1987-08-15","Pencarrow",0,0,0,0,0,0,490,0,0,0,0,0,0
2626,"Dransfield SRO","RO","1987-08-15","Pencarrow",0,0,0,0,0,0,126,0,0,0,0,0,0
2627,"Morrison JB","MS","1987-08-15","Pencarrow",0,0,0,0,0,0,119,0,0,0,0,0,0
2628,"Kelly GO","Labour","1987-08-15","Porirua",0,0,0,0,0,0,8015,1,0,1,0,0,0
2629,"Gedsby AL","National","1987-08-15","Porirua",0,0,0,0,0,0,4484,0,0,0,0,0,0
2630,"Duncan MO","IL","1987-08-15","Porirua",0,0,0,0,0,0,2004,0,0,0,0,0,0
2631,"England RW","OEM","1987-08-15","Porirua",0,0,0,0,0,0,609,0,0,0,0,0,0
2632,"Kelekolio M","IL","1987-08-15","Porirua",0,0,0,0,0,0,390,0,0,0,0,0,0
2337,"Mete Klngl MT","MM","1987-08-15","Porirua",0,0,0,0,0,0,225,0,0,0,125,0,0
2633,"Bradley PR","SA","1987-08-15","Porirua",0,0,0,0,0,0,154,0,0,0,0,0,0
2119,"Upton SD","National","1987-08-15","Raglan",1,2,0,0,0,0,9923,1,0,1,8448,0,0
2634,"Ms Scaletti-LongleyOI","Labour","1987-08-15","Raglan",0,0,0,0,0,0,6652,0,0,0,0,0,0
2635,"Burrows BV","Democratic","1987-08-15","Raglan",0,0,0,0,0,0,862,0,0,0,0,0,0
2636,"Forbes MA","MS","1987-08-15","Raglan",0,0,0,0,0,0,178,0,0,0,0,0,0
2342,"Gerard RJ","National","1987-08-15","Rangiora",1,1,0,0,0,0,11413,1,0,1,8895,0,0
2637,"Constable IC","Labour","1987-08-15","Rangiora",0,0,0,0,0,0,9281,0,0,0,0,0,0
2345,"Moore GS","Democratic","1987-08-15","Rangiora",0,0,0,0,0,0,756,0,0,0,820,0,0
2638,"McCaskey JSJ","NZP","1987-08-15","Rangiora",0,0,0,0,0,0,171,0,0,0,0,0,0
2346,"Marshall DWA","National","1987-08-15","Rangitikei",1,1,0,0,0,0,9480,1,0,1,8370,0,0
1354,"Beetham BC","Democratic","1987-08-15","Rangitikei",0,0,0,0,0,0,5441,0,0,0,7866,0,0
2639,"Srhoj DJ","Labour","1987-08-15","Rangitikei",0,0,0,0,0,0,3270,0,0,0,0,0,0
2640,"Jensen HW","NC","1987-08-15","Rangitikei",0,0,0,0,0,0,85,0,0,0,0,0,0
2641,"Martin GJJ","MS","1987-08-15","Rangitikei",0,0,0,0,0,0,77,0,0,0,0,0,0
2348,"Graham DAM","National","1987-08-15","Remuera",1,1,0,0,0,0,9770,1,0,1,9102,0,0
2642,"Tizard JN","Labour","1987-08-15","Remuera",0,0,0,0,0,0,9364,0,0,0,0,0,0
2643,"Clegg BF","Democratic","1987-08-15","Remuera",0,0,0,0,0,0,319,0,0,0,0,0,0
2644,"Martin SH","NZP","1987-08-15","Remuera",0,0,0,0,0,0,175,0,0,0,0,0,0
2645,"Ward DK","ARA","1987-08-15","Remuera",0,0,0,0,0,0,107,0,0,0,0,0,0
2089,"Goff PB","Labour","1987-08-15","Roskill",1,2,1,1,0,0,10487,1,0,1,11043,0,0
2646,"Foulkes RA","National","1987-08-15","Roskill",0,0,0,0,0,0,8050,0,0,0,0,0,0
2279,"McGee DJ","Democratic","1987-08-15","Roskill",0,0,0,0,0,0,598,0,0,0,908,0,0
2647,"Murray BA","NZP","1987-08-15","Roskill",0,0,0,0,0,0,97,0,0,0,0,0,0
2359,"Devcich AP","I","1987-08-15","Roskill",0,0,0,0,0,0,91,0,0,0,57,0,0
1893,"East PC","National","1987-08-15","Rotorua",1,3,0,0,0,0,9883,1,0,1,8746,0,0
2648,"Michie R","Labour","1987-08-15","Rotorua",0,0,0,0,0,0,7458,0,0,0,0,0,0
2649,"Dassler HO","Democratic","1987-08-15","Rotorua",0,0,0,0,0,0,523,0,0,0,0,0,0
1921,"Richardson RM","National","1987-08-15","Selwyn",1,2,0,0,0,0,10720,1,0,1,10076,0,0
2650,"Woods WE","Labour","1987-08-15","Selwyn",0,0,0,0,0,0,7758,0,0,0,0,0,0
2651,"Palmer JRE","Democratic","1987-08-15","Selwyn",0,0,0,0,0,0,640,0,0,0,0,0,0
2652,"Dennis GP","Independent","1987-08-15","Selwyn",0,0,0,0,0,0,194,0,0,0,0,0,0
2653,"Walker Cl","W","1987-08-15","Selwyn",0,0,0,0,0,0,177,0,0,0,0,0,0
1102,"TWM Tirikatene-Sullivan","Labour","1987-08-15","Southern Maori",1,6,0,0,0,0,10130,1,0,1,11792,0,0
2654,"Ratana M","Labour","1987-08-15","Southern Maori",0,0,0,0,0,0,9300,0,0,0,0,0,0
2655,"Stevens TR","MM","1987-08-15","Southern Maori",0,0,0,0,0,0,1282,0,0,0,0,0,0
2366,"Mei TeAJ","National","1987-08-15","Southern Maori",0,0,0,0,0,0,1030,0,0,0,982,0,0
2094,"Aramakuru RR","Democratic","1987-08-15","Southern Maori",0,0,0,0,0,0,344,0,0,0,226,0,0
2096,"Mihaka TeRM","I","1987-08-15","Southern Maori",0,0,0,0,0,0,319,0,0,0,177,0,0
2656,"Dooley CR","I","1987-08-15","Southern Maori",0,0,0,0,0,0,71,0,0,0,0,0,0
1902,"Caygill DF","Labour","1987-08-15","St Albans",1,3,1,1,0,0,12166,1,0,1,12208,0,0
2155,"Cowie AP","National","1987-08-15","St Albans",0,0,0,0,0,0,7641,0,0,0,4067,0,0
2082,"Morgan WF","Democratic","1987-08-15","St Albans",0,0,0,0,0,0,593,0,0,0,941,0,0
2657,"Pearce GR","SL","1987-08-15","St Albans",0,0,0,0,0,0,181,0,0,0,0,0,0
2168,"Sadler SA","W","1987-08-15","St Albans",0,0,0,0,0,0,129,0,0,0,123,0,0
2658,"McAnally PJ","V","1987-08-15","St Albans",0,0,0,0,0,0,121,0,0,0,0,0,0
1784,"Cullen MJ","Labour","1987-08-15","St Kilda",1,2,0,0,0,0,12568,1,0,1,11643,0,0
2659,"Weggery LL","National","1987-08-15","St Kilda",0,0,0,0,0,0,6876,0,0,0,0,0,0
2099,"Coles RW","Democratic","1987-08-15","St Kilda",0,0,0,0,0,0,1172,0,0,0,1215,0,0
2660,"Thomas EJ","W","1987-08-15","St Kilda",0,0,0,0,0,0,242,0,0,0,0,0,0
2371,"Anderton JP","Labour","1987-08-15","Sydenham",1,1,0,0,0,0,12241,1,0,1,11789,0,0
2661,"Harrington JM","National","1987-08-15","Sydenham",0,0,0,0,0,0,5805,0,0,0,0,0,0
2662,"Minchington NW","Democratic","1987-08-15","Sydenham",0,0,0,0,0,0,794,0,0,0,0,0,0
2663,"Holliday RJ","NZP","1987-08-15","Sydenham",0,0,0,0,0,0,124,0,0,0,0,0,0
2664,"Wilkins PJ","W","1987-08-15","Sydenham",0,0,0,0,0,0,107,0,0,0,0,0,0
1115,"Hansen CM","EE","1987-08-15","Sydenham",0,0,0,0,0,0,105,0,0,0,46,0,0
2171,"McArthur RD","V","1987-08-15","Sydenham",0,0,0,0,0,0,91,0,0,0,101,0,0
2665,"Mundy CP","DW","1987-08-15","Sydenham",0,0,0,0,0,0,24,0,0,0,0,0,0
405,"Muldoon Robert","National","1987-08-15","Tamaki",1,9,1,1,1,1,10466,1,0,1,10414,0,0
2666,"Harding C","Labour","1987-08-15","Tamaki",0,0,0,0,0,0,8519,0,0,0,0,0,0
2667,"Pittams RJ","Democratic","1987-08-15","Tamaki",0,0,0,0,0,0,668,0,0,0,0,0,0
2668,"Roberts DT","NZP","1987-08-15","Tamaki",0,0,0,0,0,0,343,0,0,0,0,0,0
2237,"Symondson B","V","1987-08-15","Tamaki",0,0,0,0,0,0,119,0,0,0,220,0,0
2380,"Maxwell RFH","National","1987-08-15","Taranaki",1,1,0,0,0,0,11494,1,0,1,10855,0,0
2669,"Jackson PEE","Labour","1987-08-15","Taranaki",0,0,0,0,0,0,5181,0,0,0,0,0,0
2670,"Satherley AM","Democratic","1987-08-15","Taranaki",0,0,0,0,0,0,1064,0,0,0,0,0,0
1849,"Roborgh JM","V","1987-08-15","Taranaki",0,0,0,0,0,0,300,0,0,0,154,0,0
1919,"McLean I","National","1987-08-15","Tarawera",1,3,0,0,0,0,9527,1,0,1,8884,0,0
2385,"Moore MR","Labour","1987-08-15","Tarawera",0,0,1,1,0,0,5950,0,0,0,5507,0,0
1476,"Blaymires CA","Democratic","1987-08-15","Tarawera",0,0,0,0,0,0,734,0,0,0,1054,0,0
2388,"Shirley KL","Labour","1987-08-15","Tasman",1,1,0,0,0,0,10262,1,0,1,9543,0,0
2389,"Hunt GH","National","1987-08-15","Tasman",0,0,0,0,0,0,9250,0,0,0,7689,0,0
2671,"Muller R","Democratic","1987-08-15","Tasman",0,0,0,0,0,0,453,0,0,0,0,0,0
2672,"Monahan H","I","1987-08-15","Tasman",0,0,0,0,0,0,105,0,0,0,0,0,0
2673,"Lister PD","V","1987-08-15","Tasman",0,0,0,0,0,0,99,0,0,0,0,0,0
2110,"Waldron SK","ER","1987-08-15","Tasman",0,0,0,0,0,0,44,0,0,0,74,0,0
1591,"Peters WR","National","1987-08-15","Tauranga",1,1,0,0,0,0,11256,1,0,1,9716,0,0
2674,"Seddon JM","Labour","1987-08-15","Tauranga",0,0,0,0,0,0,8805,0,0,0,0,0,0
2675,"Oster G","Democratic","1987-08-15","Tauranga",0,0,0,0,0,0,1009,0,0,0,0,0,0
927,"Bassett MER","Labour","1987-08-15","Te Atatu",1,3,1,1,1,0,10044,1,0,1,10786,0,0
2676,"Neeson BK","National","1987-08-15","Te Atatu",0,0,0,0,0,0,7795,0,0,0,0,0,0
2395,"Jackson MV","Democratic","1987-08-15","Te Atatu",0,0,0,0,0,0,906,0,0,0,1090,0,0
2677,"Oxton GM","NZP","1987-08-15","Te Atatu",0,0,0,0,0,0,140,0,0,0,0,0,0
2397,"McTigue MP","National","1987-08-15","Timaru",1,1,0,0,0,0,10870,1,0,1,9371,0,0
2678,"Clarke GJ","Labour","1987-08-15","Timaru",0,0,0,0,0,0,10013,0,0,0,0,0,0
2118,"Simmons LR","Democratic","1987-08-15","Timaru",0,0,0,0,0,0,488,0,0,0,1217,0,0
2304,"Lusby SR","CS","1987-08-15","Timaru",0,0,0,0,0,0,53,0,0,0,83,0,0
2148,"Simpson JMcG","NZP","1987-08-15","Timaru",0,0,0,0,0,0,53,0,0,0,2294,0,0
1938,"Maxwell RK","Labour","1987-08-15","Titirangi",1,3,0,0,0,0,10379,1,0,1,9926,0,0
2414,"McIntosh JC","National","1987-08-15","Titirangi",0,0,0,0,0,0,6255,0,0,0,5452,0,0
2679,"Burgering CR","Democratic","1987-08-15","Titirangi",0,0,0,0,0,0,1152,0,0,0,0,0,0
2107,"Scott N","Labour","1987-08-15","Tongariro",1,1,0,0,0,0,8826,1,0,1,8490,0,0
2680,"Peters LI","National","1987-08-15","Tongariro",0,0,0,0,0,0,6456,0,0,0,0,0,0
2681,"Tibbie RT","Democratic","1987-08-15","Tongariro",0,0,0,0,0,0,565,0,0,0,0,0,0
2111,"McClay RN","National","1987-08-15","Waikaremoana",1,2,0,0,0,0,9897,1,0,1,7997,0,0
2682,"Stewart TK","Labour","1987-08-15","Waikaremoana",0,0,0,0,0,0,6087,0,0,0,0,0,0
2683,"Harris AJ","Democratic","1987-08-15","Waikaremoana",0,0,0,0,0,0,593,0,0,0,0,0,0
2405,"Storey WR","National","1987-08-15","Waikato",1,1,0,0,0,0,10599,1,0,1,8037,0,0
2158,"Raitt BC","Labour","1987-08-15","Waikato",0,0,0,0,0,0,6444,0,0,0,8221,0,0
2684,"Johnstone AN","Democratic","1987-08-15","Waikato",0,0,0,0,0,0,750,0,0,0,0,0,0
2685,"Locker RH","LIND","1987-08-15","Waikato",0,0,0,0,0,0,203,0,0,0,0,0,0
2216,"Fisher MJ","MS","1987-08-15","Waikato",0,0,0,0,0,0,148,0,0,0,29,0,0
2686,"Edwards S","NZP","1987-08-15","Waikato",0,0,0,0,0,0,129,0,0,0,0,0,0
2409,"O'Regan KV","National","1987-08-15","Waipa",1,1,0,0,0,0,11378,1,0,1,9510,0,0
2339,"Holmes LF","Labour","1987-08-15","Waipa",0,0,0,0,0,0,5075,0,0,0,6472,0,0
2687,"Bishop IK","Democratic","1987-08-15","Waipa",0,0,0,0,0,0,1272,0,0,0,0,0,0
2688,"Maisey AA","I","1987-08-15","Waipa",0,0,0,0,0,0,258,0,0,0,0,0,0
2689,"Sutcliffe DA","MS","1987-08-15","Waipa",0,0,0,0,0,0,172,0,0,0,0,0,0
2690,"Creech WB","National","1987-08-15","Wairarapa",0,0,0,0,0,0,9994,1,0,1,0,0,0
2691,"Boorman RG","Labour","1987-08-15","Wairarapa",0,0,0,0,0,0,9960,0,0,0,0,0,0
2692,"Shakes GJ","Democratic","1987-08-15","Wairarapa",0,0,0,0,0,0,546,0,0,0,0,0,0
2126,"Sutton JR","Labour","1987-08-15","Waitaki",1,1,0,0,0,0,10188,1,0,1,8710,0,0
2693,"Taylor DW","National","1987-08-15","Waitaki",0,0,0,0,0,0,10099,0,0,0,0,0,0
2694,"Wood DA","Democratic","1987-08-15","Waitaki",0,0,0,0,0,0,702,0,0,0,0,0,0
2695,"Holden DJ","W","1987-08-15","Waitaki",0,0,0,0,0,0,99,0,0,0,0,0,0
889,"Young VS","National","1987-08-15","Waitotara",1,7,1,1,0,0,10065,1,0,1,8956,0,0
2696,"Stewart RF","Labour","1987-08-15","Waitotara",0,0,0,0,0,0,4116,0,0,0,0,0,0
1976,"Perry SC","Democratic","1987-08-15","Waitotara",0,0,0,0,0,0,3809,0,0,0,5642,0,0
2130,"Angus DA","National","1987-08-15","Wallace",1,2,0,0,0,0,12323,1,0,1,10034,0,0
2697,"Julian BO","Labour","1987-08-15","Wallace",0,0,0,0,0,0,4729,0,0,0,0,0,0
1798,"Radich MJ","Democratic","1987-08-15","Wallace",0,0,0,0,0,0,1038,0,0,0,801,0,0
2698,"Smith CL","I","1987-08-15","Wallace",0,0,0,0,0,0,327,0,0,0,0,0,0
2133,"Wilde FH","Labour","1987-08-15","Wellington Central",1,2,0,0,0,0,13064,1,0,1,11579,0,0
2425,"Feast JE","National","1987-08-15","Wellington Central",0,0,0,0,0,0,7873,0,0,0,4501,0,0
2699,"Binney MD","Democratic","1987-08-15","Wellington Central",0,0,0,0,0,0,398,0,0,0,0,0,0
2700,"Servian MA","MS","1987-08-15","Wellington Central",0,0,0,0,0,0,160,0,0,0,0,0,0
1804,"Catford AE","W","1987-08-15","Wellington Central",0,0,0,0,0,0,84,0,0,0,76,0,0
1787,"Elder JA","Labour","1987-08-15","West Auckland",1,1,0,0,0,0,9404,1,0,1,10369,0,0
1423,"Couch MBR","National","1987-08-15","West Auckland",1,1,1,1,0,0,6560,0,0,0,8615,0,0
2701,"James GC","Democratic","1987-08-15","West Auckland",0,0,0,0,0,0,590,0,0,0,0,0,0
2394,"Phillips GA","NZP","1987-08-15","West Auckland",0,0,0,0,0,0,101,0,0,0,1972,0,0
2702,"Wahrlich RR","PP","1987-08-15","West Auckland",0,0,0,0,0,0,59,0,0,0,0,0,0
1347,"Burke TK","Labour","1987-08-15","West Coast",1,3,0,0,0,0,7486,1,0,1,10062,0,0
2703,"Garwood GD","National","1987-08-15","West Coast",0,0,0,0,0,0,6006,0,0,0,0,0,0
2704,"Neame PG","I","1987-08-15","West Coast",0,0,0,0,0,0,3866,0,0,0,0,0,0
2705,"Newcombe RD","Democratic","1987-08-15","West Coast",0,0,0,0,0,0,978,0,0,0,0,0,0
2373,"Blackadder AM","NZP","1987-08-15","West Coast",0,0,0,0,0,0,312,0,0,0,2324,0,0
2706,"Antunovich LM","I","1987-08-15","West Coast",0,0,0,0,0,0,180,0,0,0,0,0,0
1957,"Terris JJ","Labour","1987-08-15","Western Hutt",1,3,0,0,0,0,11074,1,0,1,10555,0,0
2707,"McLauclon MJ","National","1987-08-15","Western Hutt",0,0,0,0,0,0,7526,0,0,0,0,0,0
2708,"Baird EJ","Democratic","1987-08-15","Western Hutt",0,0,0,0,0,0,783,0,0,0,0,0,0
2709,"Heath SP","MS","1987-08-15","Western Hutt",0,0,0,0,0,0,153,0,0,0,0,0,0
1138,"Wetere KT","Labour","1987-08-15","Western Maori",1,6,1,1,0,0,9990,1,0,1,11325,0,0
2141,"Rickard TE","MM","1987-08-15","Western Maori",0,0,0,0,0,0,1861,0,0,0,1049,0,0
2710,"Towers SI","National","1987-08-15","Western Maori",0,0,0,0,0,0,1024,0,0,0,0,0,0
2711,"Gilbert H","Democratic","1987-08-15","Western Maori",0,0,0,0,0,0,539,0,0,0,0,0,0
1447,"Marshall CR","Labour","1987-08-15","Whanganui",1,5,0,0,0,0,7548,1,0,1,10391,0,0
1909,"Heffernan TM","Democratic","1987-08-15","Whanganui",0,0,0,0,0,0,7300,0,0,0,6473,0,0
2712,"Anderson AR","National","1987-08-15","Whanganui",0,0,0,0,0,0,6089,0,0,0,0,0,0
1891,"Banks JA","National","1987-08-15","Whangarei",1,2,0,0,0,0,10718,1,0,1,9801,0,0
