"MacIntyre, D"	2/9/1972	12/7/1972	0	0
"Thomson, D"	2/9/1972	12/7/1972	1	0
"Adams-Schneider, L"	2/9/1972	12/7/1972	1	0
"Allen, P"	2/9/1972	12/7/1972	0	0
"Carter, D"	2/9/1972	12/7/1972	0	0
"Holyoake, K"	2/9/1972	12/7/1972	0	0
"Jack, R"	2/9/1972	12/7/1972	1	0
"McCready, A"	2/9/1972	12/7/1972	0	0
"Pickering, H"	2/9/1972	12/7/1972	0	0
"Walker, H"	2/9/1972	12/7/1972	0	0
"Gair, G"	2/9/1972	12/7/1972	0	0
"Gandar, L"	2/9/1972	12/7/1972	0	0
"Holland, E"	2/9/1972	12/7/1972	0	0
"Kirk, N"	12/8/1972	9/09/1974	1	1
"Watt, H"	12/8/1972	9/09/1974	0	0
"Freer, W"	12/8/1972	9/09/1974	0	0
"Rowling, W"	12/8/1972	9/09/1974	1	0
"Finlay, A"	12/8/1972	9/09/1974	1	0
"Rata, M"	12/8/1972	9/09/1974	0	0
"Connolly, M"	12/8/1972	9/09/1974	0	0
"Faulkner, A"	12/8/1972	9/09/1974	0	0
"King, N"	12/8/1972	9/09/1974	0	0
"Tizard, R"	12/8/1972	9/09/1974	1	0
"Moyle, C"	12/8/1972	9/09/1974	0	0
"Fraser, W"	12/8/1972	9/09/1974	0	0
"May, H"	12/8/1972	9/09/1974	0	0
"Arthur, B"	12/8/1972	9/09/1974	0	0
"Amos, P"	12/8/1972	9/09/1974	0	0
"Tirikatene-Sullivan, T"	12/8/1972	9/09/1974	0	0
"Walding, J"	12/8/1972	9/09/1974	0	0
"Colman, F"	12/8/1972	9/09/1974	0	0
"McGuigan, T"	12/8/1972	9/09/1974	1	0
"Douglas, R"	12/8/1972	9/09/1974	0	0
"Rowling, W"	9/10/1974	12/11/1975	1	1
"Tizard, R"	9/10/1974	12/11/1975	1	0
"Freer, W"	9/10/1974	12/11/1975	0	0
"Finlay, A"	9/10/1974	12/11/1975	1	0
"Watt, H"	9/10/1974	12/11/1975	0	0
"Rata, M"	9/10/1974	12/11/1975	0	0
"Connolly, M"	9/10/1974	12/11/1975	0	0
"Faulkner, A"	9/10/1974	12/11/1975	0	0
"King, N"	9/10/1974	12/11/1975	0	0
"Moyle, C"	9/10/1974	12/11/1975	0	0
"Fraser, W"	9/10/1974	12/11/1975	0	0
"May, H"	9/10/1974	12/11/1975	0	0
"Arthur, B"	9/10/1974	12/11/1975	0	0
"Amos, P"	9/10/1974	12/11/1975	0	0
"Tirikatene-Sullivan, T"	9/10/1974	12/11/1975	0	0
"Walding, J"	9/10/1974	12/11/1975	0	0
"Colman, F"	9/10/1974	12/11/1975	0	0
"McGuigan, T"	9/10/1974	12/11/1975	0	0
"Douglas, R"	9/10/1974	12/11/1975	0	0
"Bailey, R"	9/10/1974	12/11/1975	0	0
"Muldoon, R"	12/12/1975	12/12/1978	1	1
"Talboys, B"	12/12/1975	12/12/1978	1	0
"Gordon, J"	12/12/1975	12/12/1978	0	0
"MacIntyre, D"	12/12/1975	12/12/1978	0	0
"Adams-Schneider, L"	12/12/1975	12/12/1978	0	0
"Thomson, D"	12/12/1975	12/12/1978	1	0
"Gair, G"	12/12/1975	12/12/1978	0	0
"Gandar, L"	12/12/1975	12/12/1978	0	0
"Gill, T"	12/12/1975	12/12/1978	1	0
"Holyoake, K"	12/12/1975	12/12/1978	0	0
"McLachlan, C"	12/12/1975	12/12/1978	0	0
"Young, W"	12/12/1975	12/12/1978	0	0
"Holland, E"	12/12/1975	12/12/1978	0	0
"McCready, A"	12/12/1975	12/12/1978	1	0
"Walker, H"	12/12/1975	12/12/1978	0	0
"Highet, D"	12/12/1975	12/12/1978	0	0
"Wilkinson, P"	12/12/1975	12/12/1978	0	0
"Young, V"	12/12/1975	12/12/1978	0	0
"Lapwood, H"	12/12/1975	12/12/1978	0	0
"Templeton, H"	12/12/1975	12/12/1978	0	0
"Muldoon, R"	12/13/1978	12/10/1981	1	1
"Talboys, B"	12/13/1978	12/10/1981	1	0
