Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Heretaunga	11/6/1993	Tracey, B	Alliance	2663	0	
Heretaunga	11/6/1993	Logan, G	NZF	772	0	
Heretaunga	11/6/1993	Hounsell, G	CHP	616	0	
Heretaunga	11/6/1993	Sahar, R	McGillicuddy Serious	137	0	
Heretaunga	11/6/1993	Avanti, M	I	43	0	
Heretaunga	11/6/1993	Mendoza, H	New Zealand Defence Movement	32	0	
Hobson	11/6/1993	Meurant, R	National	6474	1	
Hobson	11/6/1993	Grover, F.G.	Alliance	3777	0	
Hobson	11/6/1993	Peters, R.A.	NZF	3445	0	
Hobson	11/6/1993	Ryder, D.G.	Labour	2918	0	
Hobson	11/6/1993	Hall, D.M.	Alternative	822	0	
Hobson	11/6/1993	Grubi, V.C.	CHP	304	0	
Hobson	11/6/1993	Clayton, P.J.	McGillicuddy Serious	133	0	
Hobson	11/6/1993	Treadwell, G	Natural Law	50	0	
Horowhenua	11/6/1993	Keall, J	Labour	8387	1	
Horowhenua	11/6/1993	Hancock, H	National	6040	0	
Horowhenua	11/6/1993	Bint, J	Alliance	2517	0	
Horowhenua	11/6/1993	Richardson, P	NZF	2411	0	
Horowhenua	11/6/1993	Hubbard, R	CHP	636	0	
Horowhenua	11/6/1993	Wilson, G	Natural Law	54	0	
Howick	11/6/1993	Rogers, T.V.	National	10676	1	
Howick	11/6/1993	Clarke, J	Labour	4922	0	
Howick	11/6/1993	Hoyte, W	Alliance	3747	0	
Howick	11/6/1993	Chamberlain, R	NZF	2590	0	
Howick	11/6/1993	Landhuis, E	McGillicuddy Serious	261	0	
Howick	11/6/1993	Hamill, G	Natural Law	134	0	
Invercargill	11/6/1993	Peck, M	Labour	8477	1	
Invercargill	11/6/1993	Munro, R	National	7303	0	
Invercargill	11/6/1993	Treweek, C.A.	Alliance	2250	0	
Invercargill	11/6/1993	Jones, P.N.	I	702	0	
Invercargill	11/6/1993	Kawe, K	NZF	393	0	
Invercargill	11/6/1993	Macann, M	CHP	242	0	
Invercargill	11/6/1993	Comins, R.L.	Natural Law	48	0	
Island Bay	11/6/1993	Tennet, E	Labour	10110	1	
Island Bay	11/6/1993	Shields, C	National	4688	0	
Island Bay	11/6/1993	Tile, V.I.	Alliance	3809	0	
Island Bay	11/6/1993	Douche, P	NZF	926	0	
Island Bay	11/6/1993	Fleming, B	CHP	479	0	
Island Bay	11/6/1993	Buchanan, S	McGillicuddy Serious	451	0	
Island Bay	11/6/1993	Brown, B	Natural Law	158	0	
Kaimai	11/6/1993	Anderson, R	National	6570	1	
Kaimai	11/6/1993	Brown, P	NZF	6198	0	
Kaimai	11/6/1993	Davies, L	Labour	3660	0	
Kaimai	11/6/1993	Stephens, I	Alliance	2894	0	
Kaimai	11/6/1993	Chester, T	CHP	362	0	
Kaimai	11/6/1993	Benner, S	Natural Law	66	0	
Kaimai	11/6/1993	Dassler, H	I	54	0	
Kaipara	11/6/1993	Smith, L	National	7462	1	
Kaipara	11/6/1993	Steward, R.J.	Alliance	4504	0	
Kaipara	11/6/1993	Phillips, G	Labour	3079	0	
Kaipara	11/6/1993	Taylor, A	NZF	2676	0	
Kaipara	11/6/1993	Hare, D.L.	CHP	501	0	
Kaipara	11/6/1993	Brewster, L	McGillicuddy Serious	296	0	
Kaipara	11/6/1993	Merwood, B.H.	I	94	0	
Kapiti	11/6/1993	Sowry, R.M.	National	9241	1	
Kapiti	11/6/1993	Calder, R	Labour	8203	0	
Kapiti	11/6/1993	Smith, M	Alliance	4182	0	
Kapiti	11/6/1993	Stevenson, D.C.	NZF	1431	0	
Kapiti	11/6/1993	Halsted, J	CHP	506	0	
Kapiti	11/6/1993	Church, A	McGillicuddy Serious	153	0	
Kapiti	11/6/1993	Stumbles, B	Natural Law	78	0	
King Country	11/6/1993	Bolger, J.B.	National	8396	1	
King Country	11/6/1993	Simpson, M	Labour	3890	0	
King Country	11/6/1993	Herbert, I.S.	Alliance	3518	0	
King Country	11/6/1993	Jones, M.A.	CHP	539	0	
King Country	11/6/1993	Hasyo, S.A.	McGillicuddy Serious	220	0	
King Country	11/6/1993	Williams, E.F.	Natural Law	115	0	
Lyttelton	11/6/1993	Dyson, R	Labour	9616	1	
Lyttelton	11/6/1993	Carter, D	National	8939	0	
Lyttelton	11/6/1993	Lewis, A	Alliance	3729	0	
Lyttelton	11/6/1993	Gluer, R	NZF	829	0	
Lyttelton	11/6/1993	Burnett, B	CHP	375	0	
Lyttelton	11/6/1993	Lovell-Smith, D	Natural Law	193	0	
Manawatu	11/6/1993	White, J	Labour	6588	1	
Manawatu	11/6/1993	Baldwin, G	National	6424	0	
Manawatu	11/6/1993	Macintyre, H	Alliance	5435	0	
Manawatu	11/6/1993	Haggett, R	NZF	906	0	
Manawatu	11/6/1993	Hewitt, T	CHP	320	0	
Manawatu	11/6/1993	Gaustad, A	Natural Law	59	0	
Mangere	11/6/1993	Lange, D	Labour	8345	1	
Mangere	11/6/1993	Richards, L	Alliance	2387	0	
Mangere	11/6/1993	Archer, B	NZF	2037	0	
Mangere	11/6/1993	Te Hau, H	National	1120	0	
Mangere	11/6/1993	Nemeth, C	CHP	135	0	
Mangere	11/6/1993	Davis, K	Unemployed Workers Rights	84	0	
Mangere	11/6/1993	Webb, A	McGillicuddy Serious	77	0	
Mangere	11/6/1993	Bilyard, G	Natural Law	53	0	
Manurewa	11/6/1993	Hawkins, G	Labour	7476	1	
Manurewa	11/6/1993	Chalmers, M	National	3462	0	
Manurewa	11/6/1993	Robinson, P	Alliance	3183	0	
Manurewa	11/6/1993	Roa, D	NZF	2156	0	
Manurewa	11/6/1993	Kennedy, S	CHP	388	0	
Manurewa	11/6/1993	Craig, D	McGillicuddy Serious	135	0	
Marlborough	11/6/1993	Kidd, D	National	8935	1	
Marlborough	11/6/1993	Howard, S	Labour	6387	0	
Marlborough	11/6/1993	Murphy, R	Alliance	3891	0	
Marlborough	11/6/1993	Harrison, T	NZF	1930	0	
Marlborough	11/6/1993	Pigou, D	CHP	485	0	
Marlborough	11/6/1993	Bell, D.J.	I	91	0	
Marlborough	11/6/1993	Smith, K	Natural Law	50	0	
Matakana	11/6/1993	Lee, G	National	6334	1	
Matakana	11/6/1993	Neill, J	Alliance	5441	0	
Matakana	11/6/1993	Jefferson, J	NZF	3419	0	
Matakana	11/6/1993	Hutchinson, C	Labour	3180	0	
Matakana	11/6/1993	Clarke, M	CHP	240	0	
Matakana	11/6/1993	Soper, B	McGillicuddy Serious	172	0	
Matakana	11/6/1993	Lee, L	Natural Law	140	0	
Matamata	11/6/1993	Luxton, J	National	8921	1	
Matamata	11/6/1993	Pemberton, J	Alliance	2944	0	
Matamata	11/6/1993	Harris, P	Labour	2543	0	
Matamata	11/6/1993	Barclay, P	NZF	2163	0	
Matamata	11/6/1993	Carlisle, J	CHP	419	0	
Matamata	11/6/1993	Barker, P	I	283	0	
Matamata	11/6/1993	Sanders, J	McGillicuddy Serious	245	0	
Miramar	11/6/1993	King, A	Labour	10352	1	
Miramar	11/6/1993	Reeves, G	National	7757	0	
Miramar	11/6/1993	Hamilton, J	Alliance	2590	0	
Miramar	11/6/1993	Campbell, A	NZF	960	0	
Miramar	11/6/1993	Corner, R	CHP	353	0	
Miramar	11/6/1993	Thornton, H.S.	McGillicuddy Serious	187	0	
Miramar	11/6/1993	Shepherd, W	Natural Law	65	0	
Miramar	11/6/1993	Moncur, F	Private Enterprise	35	0	
Mt Albert	11/6/1993	CLARK, H	Labour	9546	1	
Mt Albert	11/6/1993	BROWN, V	National	4890	0	
Mt Albert	11/6/1993	MCGEE, D	Alliance	2873	0	
Mt Albert	11/6/1993	ANDERSON, E	NZF	1370	0	
Mt Albert	11/6/1993	MEDER, J	CHP	259	0	
Mt Albert	11/6/1993	JULIAN, K	McGillicuddy Serious	195	0	
Mt Albert	11/6/1993	SOWRY, I	Unemployed Workers Rights	97	0	
Mt Albert	11/6/1993	SANSON, S	Natural Law	62	0	
Mt Albert	11/6/1993	VANDEN HEUVEL, A	New Zealand Defence Movement	25	0	
Napier	11/6/1993	BRAYBROOKE, G	Labour	9923	1	
Napier	11/6/1993	PRITCHARD, C	National	4997	0	
Napier	11/6/1993	HOLLAND, D	Alliance	3399	0	
Napier	11/6/1993	MORUNGA, J	NZF	989	0	
Napier	11/6/1993	BISLEY, G	CHP	297	0	
Nelson	11/6/1993	BLINCOE, J	Labour	8779	1	
Nelson	11/6/1993	EMERRE, M	National	6772	0	
Nelson	11/6/1993	WARD, M	Alliance	4543	0	
Nelson	11/6/1993	DOWNEY, B	NZF	1039	0	
Nelson	11/6/1993	BARBER, N	CHP	746	0	
Nelson	11/6/1993	WARD-BROWN, V	Natural Law	131	0	
New Lynn	11/6/1993	HUNT, J.L.	Labour	6974	1	
New Lynn	11/6/1993	ROBINSON, C	Alliance	5376	0	
New Lynn	11/6/1993	SEAVILL, R	National	3642	0	
New Lynn	11/6/1993	MULLINS, D	NZF	1474	0	
New Lynn	11/6/1993	HINDS, C	CHP	360	0	
New Lynn	11/6/1993	TUREI, L.A.	McGillicuddy Serious	121	0	
New Plymouth	11/6/1993	DUYNHOVEN, H	Labour	10481	1	
New Plymouth	11/6/1993	ARMSTRONG, J	National	7355	0	
New Plymouth	11/6/1993	SMITH, H.M.	Alliance	2182	0	
New Plymouth	11/6/1993	CALVERT, L	NZF	1087	0	
New Plymouth	11/6/1993	STARRENBURG, H	CHP	217	0	
New Plymouth	11/6/1993	SOWRY, B	Natural Law	77	0	
North Shore	11/6/1993	CLIFFE, B	National	10168	1	
North Shore	11/6/1993	CAYFORD, J	Alliance	5445	0	
North Shore	11/6/1993	HARDING, C	Labour	4132	0	
North Shore	11/6/1993	STEVENS, R	NZF	1851	0	
North Shore	11/6/1993	GLADWELL, M.A.	CHP	341	0	
North Shore	11/6/1993	BRYANT, B.J.	McGillicuddy Serious	288	0	
North Shore	11/6/1993	PIANTA, G	Natural Law	118	0	
Northern Maori	11/6/1993	HENARE, T	NZF	5654	1	
Northern Maori	11/6/1993	GREGORY, B	Labour	5238	0	
Northern Maori	11/6/1993	RATA, M	Alliance	4422	0	
Northern Maori	11/6/1993	DARGAVILLE, D	National	709	0	
Northern Maori	11/6/1993	TE KOOTI, L	MM	443	0	
Northern Maori	11/6/1993	CRUICKSHANK, T	CHP	209	0	
Northern Maori	11/6/1993	AUSTIN, M	Natural Law	75	0	
Onehunga	11/6/1993	NORTHEY, R.J.	Labour	7183	1	
Onehunga	11/6/1993	THORNE, G	National	6776	0	
Onehunga	11/6/1993	ROBSON, M	Alliance	3503	0	
Onehunga	11/6/1993	SHEARER, I	NZF	2132	0	
Onehunga	11/6/1993	PATERSON, B	CHP	318	0	
Onehunga	11/6/1993	FOSTER, R	McGillicuddy Serious	110	0	
Onehunga	11/6/1993	LEE, B	Natural Law	95	0	
Onehunga	11/6/1993	JORDAN, W	Hard to Find Bookshop	89	0	
Onslow	11/6/1993	DUNNE, P	Labour	9096	1	
Onslow	11/6/1993	MATHEW, G	National	8031	0	
Onslow	11/6/1993	BUNKLE, P	Alliance	3077	0	
Onslow	11/6/1993	BURGESS, E	NZF	682	0	
Onslow	11/6/1993	BYFORD, C	CHP	457	0	
Onslow	11/6/1993	LYSAGHT, S.B.	I	296	0	
Onslow	11/6/1993	BARKER, T	McGillicuddy Serious	130	0	
Onslow	11/6/1993	MCGREGOR, M.A.	Natural Law	62	0	
Onslow	11/6/1993	STEWART, K.L.	I	24	0	
Otago	11/6/1993	COOPER, W.E.	National	8254	1	
Otago	11/6/1993	YIAKMIS, J	Labour	5034	0	
Otago	11/6/1993	RENTON, B	Alliance	3015	0	
Otago	11/6/1993	WARREN, B	NZF	904	0	
Otago	11/6/1993	ZWIES, R	CHP	336	0	
Otago	11/6/1993	BOUSFIELD, P	McGillicuddy Serious	315	0	
Otago	11/6/1993	HAMILTON, G	I	238	0	
Otago	11/6/1993	HAMILL, N	Natural Law	58	0	
Otara	11/6/1993	FIELD, T.P.	Labour	8080	1	
Otara	11/6/1993	FRITH, S	National	2099	0	
Otara	11/6/1993	NEWMAN, B	Alliance	1856	0	
Otara	11/6/1993	FALEAUTO, T.A.	NZ Representative	641	0	
Otara	11/6/1993	WARD, J	CHP	253	0	
Otara	11/6/1993	DAVIS, D	MM	100	0	
Otara	11/6/1993	CAVE, A	McGillicuddy Serious	78	0	
Otara	11/6/1993	HIEATT, S	Unemployed Workers Rights	59	0	
Otara	11/6/1993	GLASSIE, L	Aotearoa Partnership	16	0	
Pahiatua	11/6/1993	FALLOON, J	National	8702	1	
Pahiatua	11/6/1993	MARTINDALE, M	Labour	3524	0	
Pahiatua	11/6/1993	ROCKELL, D	Alliance	3184	0	
Pahiatua	11/6/1993	KINGI, K.J.	NZF	1601	0	
Pahiatua	11/6/1993	VAN STEEL, M	CHP	510	0	
Pahiatua	11/6/1993	KELLY, B	I	160	0	
Pakuranga	11/6/1993	WILLIAMSON, M	National	9619	1	
Pakuranga	11/6/1993	MACKAY, H	Labour	4159	0	
Pakuranga	11/6/1993	WILKINS, D	Alliance	3203	0	
Pakuranga	11/6/1993	MOORE, D	NZF	2399	0	
Pakuranga	11/6/1993	STARRENBURG, J	CHP	357	0	
Pakuranga	11/6/1993	SASQUATCH, ?	McGillicuddy Serious	201	0	
Pakuranga	11/6/1993	BRIGID, A	Natural Law	87	0	
Palmerston North	11/6/1993	MAHAREY, S	Labour	9049	1	
Palmerston North	11/6/1993	STONES, B	National	5285	0	
Palmerston North	11/6/1993	HEHIR, G	Alliance	3474	0	
Palmerston North	11/6/1993	ODERING, G	NZF	1220	0	
Palmerston North	11/6/1993	BURGESS, K	CHP	413	0	
Palmerston North	11/6/1993	MARTIN, T	Natural Law	66	0	
Palmerston North	11/6/1993	GOALEY, P.T.	I	48	0	
Palmerston North	11/6/1993	NATTRASS, E.M.	Ethereal Vision	40	0	
Panmure	11/6/1993	TIZARD, J.N.	Labour	8028	1	
Panmure	11/6/1993	JESSON, B	Alliance	4751	0	
Panmure	11/6/1993	WREN, C	National	2238	0	
Panmure	11/6/1993	PEPPERELL, B	CHP	250	0	
Panmure	11/6/1993	LODGE, R	Natural Law	130	0	
Papakura	11/6/1993	ROBERTSON, J	National	6370	1	
Papakura	11/6/1993	HAWKS, N	Labour	5886	0	
Papakura	11/6/1993	AYERS, M	Alliance	2423	0	
Papakura	11/6/1993	MOSEN, J	NZF	2260	0	
Papakura	11/6/1993	WORTH, R	CHP	218	0	
Papakura	11/6/1993	BOSWELL, J	New Zealand Defence Movement	67	0	
Papakura	11/6/1993	DAVY, A	Natural Law	49	0	
Papakura	11/6/1993	JAMES-REIHANA, S	Aotearoa Partnership	36	0	
Papatoetoe	11/6/1993	ROBERTSON, R	Labour	9769	1	
Papatoetoe	11/6/1993	WILD, J	National	3792	0	
Papatoetoe	11/6/1993	ALCHIN-SMITH, H	Alliance	2529	0	
Papatoetoe	11/6/1993	NICHOLS, N	NZF	1774	0	
Papatoetoe	11/6/1993	RUIJNE, A	CHP	271	0	
Papatoetoe	11/6/1993	KETTLE, G.W.	Natural Law	67	0	
Pencarrow	11/6/1993	MALLARD, T	Labour	8106	1	
Pencarrow	11/6/1993	THOMAS, R	National	5465	0	
Pencarrow	11/6/1993	OTWAY, L	Alliance	3021	0	
Pencarrow	11/6/1993	HOUPAPA, K	NZF	1186	0	
Pencarrow	11/6/1993	PATON, J	CHP	380	0	
Pencarrow	11/6/1993	CAUCHI, B	McGillicuddy Serious	186	0	
Porirua	11/6/1993	KELLY, G	Labour	9163	1	
Porirua	11/6/1993	SIPELI, L	National	2450	0	
Porirua	11/6/1993	MITCHELL, K	Alliance	2309	0	
Porirua	11/6/1993	MAGSON, R	NZF	1261	0	
Porirua	11/6/1993	O'DONNELL, B	CHP	522	0	
Porirua	11/6/1993	PRANKERD, G	McGillicuddy Serious	239	0	
Raglan	11/6/1993	UPTON, S	National	7494	1	
Raglan	11/6/1993	HARRIS, B	Labour	4875	0	
Raglan	11/6/1993	MEDLAND, J	Alliance	2944	0	
Raglan	11/6/1993	RANDELL, L	NZF	2201	0	
Raglan	11/6/1993	SCOGGINS, G	CHP	556	0	
Raglan	11/6/1993	HOUTMAN, G	McGillicuddy Serious	198	0	
Raglan	11/6/1993	CLOUGH, A	I	71	0	
Raglan	11/6/1993	DUNN, M	Natural Law	52	0	
Rakaia	11/6/1993	SHIPLEY, J	National	10343	1	
Rakaia	11/6/1993	HOWIE, J	Labour	5803	0	
Rakaia	11/6/1993	HUNT, J	Alliance	3181	0	
Rakaia	11/6/1993	PAGE, C	NZF	1459	0	
Rakaia	11/6/1993	HOOLEY, D	CHP	286	0	
Rakaia	11/6/1993	GREER, T	McGillicuddy Serious	203	0	
Rakaia	11/6/1993	GREEN, J	Natural Law	102	0	
Rangiora	11/6/1993	GERARD, J	National	9157	1	
Rangiora	11/6/1993	LITTLE, M.M.	Labour	4688	0	
Rangiora	11/6/1993	WRIGHT, J	Alliance	4611	0	
Rangiora	11/6/1993	WOODS, R	NZF	1397	0	
Rangiora	11/6/1993	PHILLIPS, J	CHP	450	0	
Rangiora	11/6/1993	WOLFE, R	McGillicuddy Serious	125	0	
Rangiora	11/6/1993	BIRD, J.K.	Natural Law	52	0	
Rangitikei	11/6/1993	MARSHALL, D	National	8346	1	
Rangitikei	11/6/1993	PECK, B	Alliance	4924	0	
Rangitikei	11/6/1993	SCHMIDT, A	Labour	4651	0	
Rangitikei	11/6/1993	BURGESS, K	CHP	728	0	
Rangitikei	11/6/1993	SHAW, R	McGillicuddy Serious	217	0	
Rangitikei	11/6/1993	MICHELINI, B	Natural Law	88	0	
Remuera	11/6/1993	GRAHAM, D.A.	National	12584	1	
Remuera	11/6/1993	TIERNEY, M	Alliance	3965	0	
Remuera	11/6/1993	HAYNES, P	Labour	3633	0	
Remuera	11/6/1993	HOOLE, K.M.	McGillicuddy Serious	347	0	
Remuera	11/6/1993	PHIMESTER, J	CHP	247	0	
Remuera	11/6/1993	LODGE, G	Natural Law	129	0	
Remuera	11/6/1993	HOLMES, L	New Zealand Defence Movement	86	0	
Roskill	11/6/1993	GOFF, P.B.	Labour	7664	1	
Roskill	11/6/1993	SPENCE, A	National	5459	0	
Roskill	11/6/1993	MYLES, G	NZF	3530	0	
Roskill	11/6/1993	POTAKA, J.K.	Alliance	2260	0	
Roskill	11/6/1993	DUNBAR, R	CHP	355	0	
Roskill	11/6/1993	PRICE, J	McGillicuddy Serious	82	0	
Rotorua	11/6/1993	EAST, P	National	5893	1	
Rotorua	11/6/1993	RIDINGS, K	Alliance	5464	0	
Rotorua	11/6/1993	CHADWICK, J	Labour	5018	0	
Rotorua	11/6/1993	KOHATH, B	CHP	374	0	
Rotorua	11/6/1993	TURNER, R	I	164	0	
Rotorua	11/6/1993	CAIRNS, G.W.	McGillicuddy Serious	147	0	
Rotorua	11/6/1993	REED, R	New Zealand Defence Movement	133	0	
Rotorua	11/6/1993	SHARP, M	Natural Law	47	0	
Selwyn	11/6/1993	RICHARDSON, R	National	9463	1	
Selwyn	11/6/1993	MARK, R	Labour	8575	0	
Selwyn	11/6/1993	MCCASKEY, J	Alliance	2898	0	
Selwyn	11/6/1993	MCKENZIE, B	NZF	1496	0	
Selwyn	11/6/1993	DENNIS, G	CHP	425	0	
Selwyn	11/6/1993	MACK, R	Natural Law	92	0	
Southern Maori	11/6/1993	TIRIKATENE-SULLIVAN, W	Labour	9631	1	
Southern Maori	11/6/1993	PARKINSON, J.V.	NZF	3291	0	
Southern Maori	11/6/1993	STEVENS, T	Alliance	2541	0	
Southern Maori	11/6/1993	HARRIS, R.N.	MM	702	0	
Southern Maori	11/6/1993	WHARE, R	CHP	336	0	
Southern Maori	11/6/1993	IRWIN, T	Natural Law	119	0	
St Albans	11/6/1993	CAYGILL, D	Labour	10022	1	
St Albans	11/6/1993	DAWSON, R	National	6597	0	
St Albans	11/6/1993	NEWLOVE, M	Alliance	3423	0	
St Albans	11/6/1993	GORDON, P	NZF	949	0	
St Albans	11/6/1993	LOVELL, M	CHP	481	0	
St Albans	11/6/1993	PICKERING, J	Natural Law	88	0	
St Albans	11/6/1993	BUNTING, B	Pacific	25	0	
St Kilda	11/6/1993	CULLEN, M	Labour	10019	1	
St Kilda	11/6/1993	MCBEY, L	Alliance	4948	0	
St Kilda	11/6/1993	MACPHERSON, M	National	4899	0	
St Kilda	11/6/1993	FOGARTY, K	NZF	1027	0	
St Kilda	11/6/1993	GEERLOFS, H	CHP	392	0	
Sydenham	11/6/1993	ANDERTON, J	Alliance	12466	1	
Sydenham	11/6/1993	COYLE, G	Labour	4990	0	
Sydenham	11/6/1993	BROWNLEE, G	National	3209	0	
Sydenham	11/6/1993	BERGMAN, N	NZF	386	0	
Sydenham	11/6/1993	ALBERTS, M	CHP	346	0	
Sydenham	11/6/1993	DUNICK, M	McGillicuddy Serious	110	0	
Sydenham	11/6/1993	DRAKE, C	Natural Law	62	0	
Sydenham	11/6/1993	MUNDY, C	Dominion Workers	12	0	
Sydenham	11/6/1993	HANSEN, M	New Zealand Economic Euthenics	10	0	
Tamaki	11/6/1993	SIMICH, C	National	11563	1	
Tamaki	11/6/1993	GREEN, R	Alliance	3612	0	
Tamaki	11/6/1993	WILSON, L	Labour	3300	0	
Tamaki	11/6/1993	PRESTON, G	NZF	1739	0	
Tamaki	11/6/1993	LINDSAY, D.J.	CHP	279	0	
Tamaki	11/6/1993	DE BOER, M.R.	McGillicuddy Serious	185	0	
Tamaki	11/6/1993	STOTT, W	Natural Law	75	0	
Tamaki	11/6/1993	SKELTON, B	New Zealand Defence Movement	51	0	
Tamaki	11/6/1993	POST, B	I	37	0	
Tamaki	11/6/1993	ADAMS, C	Unemployed Workers Rights	32	0	
Taranaki	11/6/1993	MAXWELL, R	National	8910	1	
Taranaki	11/6/1993	WOOD, S.W.	Labour	4039	0	
Taranaki	11/6/1993	SATHERLEY, A.M.	Alliance	2594	0	
Taranaki	11/6/1993	FAIRCLOUGH, P	NZF	1420	0	
Taranaki	11/6/1993	SHRAMKA, J	CHP	403	0	
Taranaki	11/6/1993	GREIG, J	Natural Law	116	0	
Tarawera	11/6/1993	BRADFORD, M	National	7873	1	
Tarawera	11/6/1993	DICKSON, G	Labour	3718	0	
Tarawera	11/6/1993	KINGSLEY-SMITH, R	Alliance	3081	0	
Tarawera	11/6/1993	YATES, B	NZF	3009	0	
Tarawera	11/6/1993	STEVENS, J	CHP	424	0	
Tarawera	11/6/1993	SUMMERHAYS, K	McGillicuddy Serious	191	0	
Tarawera	11/6/1993	CAMPBELL, R	New Zealand Defence Movement	40	0	
Tarawera	11/6/1993	VAN BATENBURG, M	Natural Law	38	0	
Tasman	11/6/1993	SMITH, N	National	11017	1	
Tasman	11/6/1993	ROWLING, G	Labour	6958	0	
Tasman	11/6/1993	RADFORD, P	Alliance	2539	0	
Tasman	11/6/1993	MAISEY, A.A.	I	461	0	
Tasman	11/6/1993	VAN MAANEN, K	CHP	235	0	
Tasman	11/6/1993	KNOWLES, G	McGillicuddy Serious	149	0	
Tasman	11/6/1993	RICHARDS, S	I	80	0	
Tasman	11/6/1993	RAYNER, M	Natural Law	76	0	
Tauranga	11/6/1993	PETERS, W.R.	NZF	12638	1	
Tauranga	11/6/1993	CRONIN, J	National	4714	0	
Tauranga	11/6/1993	LEE, C	Labour	2839	0	
Tauranga	11/6/1993	BARHAM, G.J.	Alliance	2064	0	
Tauranga	11/6/1993	SMITH, B	CHP	331	0	
Tauranga	11/6/1993	PITTAMS, G.M.	McGillicuddy Serious	198	0	
Tauranga	11/6/1993	HUGHES, J	Natural Law	59	0	
Tauranga	11/6/1993	WALDRON, K	I	25	0	
Te Atatu	11/6/1993	CARTER, C	Labour	6889	1	
Te Atatu	11/6/1993	HARRE, L.J.	Alliance	5501	0	
Te Atatu	11/6/1993	ADAMS, T	National	4724	0	
Te Atatu	11/6/1993	BROWN, P	NZF	1121	0	
Te Atatu	11/6/1993	BROADBENT, A	CHP	342	0	
Te Atatu	11/6/1993	FRANKLIN, A.L.	McGillicuddy Serious	89	0	
Te Atatu	11/6/1993	BRADFORD, B	Unemployed Workers Rights	36	0	
Te Atatu	11/6/1993	BOOCK, J.A.	Natural Law	27	0	
Timaru	11/6/1993	SUTTON, J	Labour	10153	1	
Timaru	11/6/1993	MCTIGUE, M.P.	National	7213	0	
Timaru	11/6/1993	BINNS, P	Alliance	2533	0	
Timaru	11/6/1993	BLOXHAM, J	NZF	1459	0	
Timaru	11/6/1993	BRODIE, S	CHP	200	0	
Timaru	11/6/1993	SOLE, S	Natural Law	59	0	
Titirangi	11/6/1993	SINCLAIR, S	Labour	6410	1	
Titirangi	11/6/1993	HASLER, M	National	6070	0	
Titirangi	11/6/1993	HARTNETT, T	Alliance	4464	0	
Titirangi	11/6/1993	LOZA, M.J.	NZF	1182	0	
Titirangi	11/6/1993	BRECKON, S	CHP	367	0	
Titirangi	11/6/1993	SMITH, V	McGillicuddy Serious	146	0	
Titirangi	11/6/1993	THOMAS, A	Natural Law	68	0	
Titirangi	11/6/1993	HALDANE, J	Unemployed Workers Rights	66	0	
Titirangi	11/6/1993	BURGERING, C.R.	I	42	0	
Tongariro	11/6/1993	BURTON, M	Labour	7723	1	
Tongariro	11/6/1993	PETERS, I	National	5772	0	
Tongariro	11/6/1993	ELDER, J	Alliance	2458	0	
Tongariro	11/6/1993	WILLS, G	CHP	229	0	
Tongariro	11/6/1993	WESTAWAY, A	Natural Law	88	0	
Waikaremoana	11/6/1993	MCCLAY, R	National	8579	1	
Waikaremoana	11/6/1993	SHEEHAN, G	Labour	4558	0	
Waikaremoana	11/6/1993	FORREST, B	Alliance	3184	0	
Waikaremoana	11/6/1993	BEAMISH, A	CHP	336	0	
Waikaremoana	11/6/1993	THOMSON, I	Natural Law	127	0	
Waikato	11/6/1993	STOREY, R	National	6864	1	
Waikato	11/6/1993	MOORE, S	Labour	4578	0	
Waikato	11/6/1993	PETCHEY, F	Alliance	3358	0	
Waikato	11/6/1993	JOYCE, J	NZF	1748	0	
Waikato	11/6/1993	PRIEST, L.J.	CHP	437	0	
Waikato	11/6/1993	SMITH, P	McGillicuddy Serious	234	0	
Waikato	11/6/1993	MCCOMB, N	New Zealand Defence Movement	43	0	
Waikato	11/6/1993	MARSH, R	Real	19	0	
Waipa	11/6/1993	O'REGAN, K	National	8217	1	
Waipa	11/6/1993	KILBRIDE, J	Alliance	4487	0	
Waipa	11/6/1993	O'SULLIVAN, D.T.	Labour	2740	0	
Waipa	11/6/1993	PARLANE, J	NZF	2156	0	
Waipa	11/6/1993	HOLDWAY-DAVIS, P	CHP	772	0	
Waipa	11/6/1993	SUTCLIFFE, D	McGillicuddy Serious	178	0	
Waipa	11/6/1993	BARNARD, G	Natural Law	40	0	
Wairarapa	11/6/1993	CREECH, W	National	9004	1	
Wairarapa	11/6/1993	TEAHAN, P	Labour	6775	0	
Wairarapa	11/6/1993	MACPHERSON, D	Alliance	4162	0	
Wairarapa	11/6/1993	ROUTHAN, J	NZF	1051	0	
Wairarapa	11/6/1993	LLOYD, M	CHP	597	0	
Wairarapa	11/6/1993	REINSFIELD, K	Natural Law	51	0	
Waitakere	11/6/1993	NEESON, B	National	8283	1	
Waitakere	11/6/1993	HUTCHINSON, B	Labour	5103	0	
Waitakere	11/6/1993	MADDISON, P.A.	Alliance	3933	0	
Waitakere	11/6/1993	LAKE, A	NZF	1683	0	
Waitakere	11/6/1993	RAE, G	CHP	366	0	
Waitakere	11/6/1993	MARTIN-BUSS, A	McGillicuddy Serious	171	0	
Waitakere	11/6/1993	CULLEN, T	I	120	0	
Waitakere	11/6/1993	MORGAN, K.E.	Natural Law	81	0	
Waitaki	11/6/1993	NEILL, A	National	8533	1	
Waitaki	11/6/1993	ALBISTON, B	Labour	8480	0	
