Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Mt Albert	9/24/1947	Garland JC	National	5682	0	
Westland	12/3/1947	Kent JB	Labour	7427	1	
Westland	12/3/1947	Lockington JF	National	5405	0	
Arch Hull	11/30/1949	Parry WE	Labour	8399	1	
Arch Hull	11/30/1949	Smith GF	National	3225	0	
Arch Hull	11/30/1949	Wilcox VG	C	343	0	
Ashburton	11/30/1949	Gerard RG	National	7642	1	
Ashburton	11/30/1949	Rose WE	Labour	5257	0	
Auckland Central	11/30/1949	Anderton WT	Labour	5863	1	
Auckland Central	11/30/1949	Bradley LG	National	3064	0	
Auckland Central	11/30/1949	Mitchell JJ	C	237	0	
Auckland Central	11/30/1949	Jones HK	I	73	0	
Avon	11/30/1949	Mathison J	Labour	9877	1	
Avon	11/30/1949	Kinzett GW	National	5284	0	
Awarua	11/30/1949	Herron GR	National	7997	1	
Awarua	11/30/1949	Pickering NG	Labour	4818	0	
Bay of Plenty	11/30/1949	Sullivan W	National	8993	1	
Bay of Plenty	11/30/1949	Santon TG	Labour	5313	0	
Brooklyn	11/30/1949	Fraser P	Labour	7176	1	
Brooklyn	11/30/1949	Burns BS	National	4220	0	
Brooklyn	11/30/1949	Birchfield C	C	241	0	
Buller	11/30/1949	Skinner CF	Labour	7941	1	
Buller	11/30/1949	McDonald PE	National	5735	0	
Christchurch Central	11/30/1949	MacFarlane RM	Labour	7589	1	
Christchurch Central	11/30/1949	Marlow KJ	National	3952	0	
Christchurch Central	11/30/1949	Ostler A	C	218	0	
Clutha	11/30/1949	Roy JAMcL	National	8133	1	
Clutha	11/30/1949	Keenan JE	Labour	4903	0	
Dunedin Central	11/30/1949	Connolly PG	Labour	6813	1	
Dunedin Central	11/30/1949	Murdoch D	National	5824	0	
Dunedin North	11/30/1949	Walls R	Labour	7190	1	
Dunedin North	11/30/1949	Brickell RG	National	6522	0	
Dunedin North	11/30/1949	Marston JL	C	109	0	
Eastern Maori	11/30/1949	Omana T	Labour	8487	1	
Eastern Maori	11/30/1949	Carroll AT	National	5276	0	
Eden	11/30/1949	Fortune WH	National	7184	1	
Eden	11/30/1949	Curran PT	Labour	4925	0	
Egmont	11/30/1949	Corbett EB	National	8693	1	
Egmont	11/30/1949	Richmond BE	Labour	4154	0	
Fendalton	11/30/1949	Holland SG	National	8362	1	
Fendalton	11/30/1949	Newman RT	Labour	4286	0	
Fendalton	11/30/1949	Gilmour GH	INDLIB	565	0	
Franklin	11/30/1949	Massey JN	National	9635	1	
Franklin	11/30/1949	Parsons J	Labour	4154	0	
Gisborne	11/30/1949	Keeling RA	Labour	7534	1	
Gisborne	11/30/1949	Dudfield H	National	7045	0	
Grey Lynn	11/30/1949	Hackett F	Labour	7362	1	
Grey Lynn	11/30/1949	Faulkner JL	National	3159	0	
Grey Lynn	11/30/1949	Lee JA	DL	2627	0	
Hamilton	11/30/1949	Ross GH	National	7652	1	
Hamilton	11/30/1949	Glanville JJ	Labour	6047	0	
Hastings	11/30/1949	Jones SI	National	7965	1	
Hastings	11/30/1949	Cullen EL	Labour	6983	0	
Hauraki	11/30/1949	Sutherland AS	National	8510	1	
Hauraki	11/30/1949	Peacock P	Labour	4566	0	
Hawkes Bay	11/30/1949	Harker CGE	National	8406	1	
Hawkes Bay	11/30/1949	Beattie HE	Labour	4964	0	
Hobson	11/30/1949	Smith SW	National	9280	1	
Hobson	11/30/1949	Lane WE	Labour	4212	0	
Hurunui	11/30/1949	Gillespie WH	National	7952	1	
Hurunui	11/30/1949	Smith AJ	Labour	5417	0	
Hutt	11/30/1949	Nash W	Labour	8153	1	
Hutt	11/30/1949	Heatley HL	National	5880	0	
Hutt	11/30/1949	Simpson TF	RS	100	0	
Invercargill	11/30/1949	Hanan JR	National	7897	1	
Invercargill	11/30/1949	Denham WMC	Labour	6738	0	
Island Bay	11/30/1949	McKeen R	Labour	7335	1	
Island Bay	11/30/1949	Childs HE	National	4565	0	
Island Bay	11/30/1949	Smith RJ	C	184	0	
Karori	11/30/1949	Bowden CM	National	8367	1	
Karori	11/30/1949	Harris E	Labour	4782	0	
Lyttelton	11/30/1949	McCombs TH	Labour	7758	1	
Lyttelton	11/30/1949	Beauchamp RR	National	6780	0	
Manawatu	11/30/1949	Oram MH	National	8174	1	
Manawatu	11/30/1949	Rodgers BA	Labour	4791	0	
Marlborough	11/30/1949	Shand TP	National	7861	1	
Marlborough	11/30/1949	Wilson JH	Labour	5999	0	
Marsden	11/30/1949	Murdoch AJ	National	8746	1	
Marsden	11/30/1949	Ross DL	Labour	5470	0	
Miramar	11/30/1949	Semple R	Labour	7193	1	
Miramar	11/30/1949	Taylor CH	National	5878	0	
Miramar	11/30/1949	Stanton KSC	C	229	0	
Mornington	11/30/1949	Hudson WA	Labour	9282	1	
